source,country,rep,n_train,estimate,error,train_sources
armstrong,USA,27,37,0.17894458744066022,0.04564906843895858,moralsense|jmu|swps|csunorthonline|brookcuny|tanzania|ritonline|osnabruck|hawaiion|queensland2|metu|northumbria|tanzaniaon|badaniaon|ouhk|westernkentucky|louvain|mcdanielonline|unswonline|yale|lse|aus2|vcu|munichon|simmons|cas|tamu|help|rotterdam|georgefox|munich|seznam|mturk|pascal|puc|bogota|salford
armstrong,USA,28,37,0.17157607797481628,0.03828055897311464,seznam|cas|tamucc|seznamon|psualtoona|badaniaon|munich|brookcuny|puc|unswonline|metu|csunorthonline|fmkbelgrade|grazvienna|moralsense|yale|tanzania|ulatina|lse|munichon|umich|ritonline|salford|kenyon|radboud|mcdanielonline|bogota|uned|padua|northumbria|hawaiion|tilburg|vcu|georgefox|kwazulu|mturk|queensland2
armstrong,USA,29,37,0.18459829277958367,0.05130277377788203,psualtoona|fmkbelgrade|tamu|tamucc|ritonline|seznamon|padua|louvain|yale|queensland2|tilburgcaf|unswonline|hawaiion|uned|northumbria|georgefox|vuw|swps|badaniaon|jos|radboud|carleton|tanzania|loyola|umich|tanzaniaon|krakowon|munichon|salford|seznam|simmons|help|mturk|westernkentucky|vcu|csunorthonline|aus2
armstrong,USA,30,37,0.17976336176997645,0.046467842768274814,cas|grazvienna|bogota|loyola|psualtoona|umich|mcdanielonline|krakowon|tanzania|simmons|tilburgcaf|tilburg|kenyon|metu|unswonline|ritonline|ouhk|carleton|yale|jmu|help|mturk|kwazulu|moralsense|radboud|csunorthonline|brookcuny|seznamon|jos|munichon|badaniaon|hawaiion|northumbria|fmkbelgrade|rotterdam|georgefox|puc
armstrong,USA,31,37,0.19049790353601653,0.05720238453431489,radboud|tilburg|mturk|grazvienna|munich|swps|metu|kwazulu|tanzaniaon|westernkentucky|unswonline|queensland2|salford|puc|simmons|osnabruck|lse|vcu|louvain|csunorthonline|hawaiion|pascal|krakowon|seznam|brookcuny|uned|carleton|psualtoona|kenyon|bogota|help|padua|badaniaon|cas|mcdanielonline|umich|rotterdam
armstrong,USA,32,37,0.16636222957434293,0.033066710572641295,loyola|radboud|ulatina|munich|georgefox|badaniaon|tanzaniaon|rotterdam|hawaiion|uned|metu|mturk|osnabruck|unswonline|brookcuny|cas|seznamon|aus2|seznam|bogota|northumbria|tamu|queensland2|ritonline|tilburg|salford|moralsense|ouhk|lse|help|umich|westernkentucky|puc|munichon|kenyon|jos|grazvienna
armstrong,USA,33,37,0.18359762791697545,0.05030210891527381,metu|osnabruck|swps|salford|rotterdam|kwazulu|mturk|unswonline|uned|puc|fmkbelgrade|psualtoona|ritonline|westernkentucky|tanzania|padua|csunorthonline|seznamon|tamu|badaniaon|tilburg|loyola|queensland2|jmu|seznam|pascal|cas|bogota|krakowon|ouhk|northumbria|brookcuny|umich|jos|yale|help|moralsense
armstrong,USA,34,37,0.16845369456433767,0.035158175562636035,uned|grazvienna|puc|seznamon|tanzania|westernkentucky|kwazulu|tamu|help|northumbria|csunorthonline|ulatina|aus2|louvain|hawaiion|rotterdam|georgefox|kenyon|unswonline|pascal|cas|moralsense|salford|tanzaniaon|loyola|mcdanielonline|swps|carleton|queensland2|mturk|yale|vuw|seznam|badaniaon|krakowon|jos|fmkbelgrade
armstrong,USA,35,37,0.1810070652387647,0.04771154623706306,fmkbelgrade|vuw|psualtoona|yale|northumbria|ouhk|jmu|vcu|mcdanielonline|tanzania|georgefox|hawaiion|seznamon|queensland2|osnabruck|uned|kenyon|tilburg|moralsense|metu|padua|umich|help|grazvienna|bogota|swps|westernkentucky|carleton|rotterdam|seznam|radboud|tamucc|unswonline|munich|tilburgcaf|salford|aus2
armstrong,USA,36,37,0.18830812890009965,0.05501260989839801,help|aus2|salford|tanzania|brookcuny|seznam|queensland2|mturk|lse|metu|mcdanielonline|yale|badaniaon|tamucc|westernkentucky|padua|vcu|loyola|ouhk|psualtoona|jos|csunorthonline|osnabruck|carleton|uned|jmu|swps|moralsense|tilburgcaf|rotterdam|radboud|northumbria|kwazulu|seznamon|tamu|umich|ritonline
armstrong,USA,37,37,0.17361244096200457,0.040316921960302926,tanzania|rotterdam|munich|mcdanielonline|carleton|metu|badaniaon|lse|krakowon|seznamon|westernkentucky|yale|swps|ulatina|tilburgcaf|brookcuny|vuw|osnabruck|fmkbelgrade|pascal|queensland2|tanzaniaon|jos|radboud|psualtoona|louvain|mturk|bogota|aus2|salford|moralsense|seznam|tamucc|ouhk|padua|tilburg|simmons
armstrong,USA,38,37,0.17390188464656992,0.040606365644868275,jmu|tanzaniaon|radboud|westernkentucky|lse|metu|georgefox|puc|help|loyola|tilburg|louvain|brookcuny|krakowon|fmkbelgrade|ritonline|simmons|hawaiion|seznamon|mturk|munich|salford|moralsense|psualtoona|aus2|tanzania|padua|northumbria|pascal|munichon|carleton|mcdanielonline|tamucc|kwazulu|unswonline|swps|umich
armstrong,USA,39,37,0.17927817808611826,0.04598265908441662,rotterdam|northumbria|seznamon|moralsense|vuw|cas|tamucc|kwazulu|georgefox|mturk|tanzaniaon|ouhk|jmu|krakowon|kenyon|hawaiion|loyola|badaniaon|pascal|ritonline|metu|westernkentucky|tilburg|padua|umich|bogota|radboud|munich|carleton|tamu|tanzania|seznam|uned|yale|aus2|osnabruck|simmons
armstrong,USA,40,37,0.16250451760137766,0.029208998599676017,mcdanielonline|tilburgcaf|ouhk|yale|cas|seznamon|psualtoona|salford|vuw|jos|simmons|bogota|badaniaon|moralsense|tilburg|puc|queensland2|osnabruck|uned|aus2|tamu|mturk|metu|fmkbelgrade|grazvienna|padua|rotterdam|help|tanzaniaon|jmu|pascal|csunorthonline|tanzania|munichon|krakowon|radboud|kenyon
armstrong,USA,41,37,0.17045247896026638,0.037156959958564745,uned|fmkbelgrade|tanzania|queensland2|ouhk|kwazulu|northumbria|puc|lse|psualtoona|loyola|tilburg|munichon|westernkentucky|tilburgcaf|hawaiion|simmons|jos|metu|seznam|ulatina|yale|tamu|bogota|brookcuny|umich|mcdanielonline|mturk|georgefox|vcu|rotterdam|moralsense|cas|radboud|vuw|padua|tanzaniaon
armstrong,USA,42,37,0.1703967576456087,0.03710123864390705,grazvienna|ritonline|tanzaniaon|tamu|swps|queensland2|cas|yale|mturk|puc|fmkbelgrade|tamucc|vuw|hawaiion|munichon|csunorthonline|brookcuny|pascal|lse|jos|ouhk|krakowon|umich|tilburgcaf|tanzania|carleton|unswonline|rotterdam|moralsense|help|jmu|aus2|georgefox|badaniaon|uned|psualtoona|seznamon
armstrong,USA,43,37,0.17745023501879245,0.04415471601709081,kwazulu|moralsense|grazvienna|padua|vuw|ulatina|yale|unswonline|csunorthonline|tamucc|seznam|fmkbelgrade|louvain|metu|queensland2|northumbria|help|mcdanielonline|carleton|brookcuny|pascal|tamu|swps|westernkentucky|aus2|psualtoona|tilburg|tilburgcaf|radboud|mturk|krakowon|rotterdam|bogota|simmons|kenyon|puc|jos
armstrong,USA,44,37,0.17857008600556076,0.04527456700385912,seznamon|georgefox|brookcuny|jos|seznam|tilburgcaf|padua|queensland2|lse|simmons|ouhk|louvain|vuw|kwazulu|hawaiion|radboud|tilburg|tanzaniaon|swps|bogota|mturk|rotterdam|tamu|westernkentucky|uned|badaniaon|aus2|cas|yale|tanzania|moralsense|help|salford|carleton|unswonline|munichon|vcu
armstrong,USA,45,37,0.1816646815965424,0.04836916259484075,queensland2|georgefox|tanzania|grazvienna|ouhk|munichon|tilburgcaf|badaniaon|osnabruck|lse|westernkentucky|bogota|kenyon|jos|seznam|tamucc|mturk|tilburg|aus2|vcu|padua|kwazulu|munich|ulatina|krakowon|northumbria|fmkbelgrade|tamu|umich|brookcuny|unswonline|mcdanielonline|csunorthonline|tanzaniaon|simmons|help|psualtoona
