ambiguity_radius_Ld,inverse_information_noise,empirical_worst_case_mae,mc_standard_error,max_rate_reference,risk_to_max_rate_ratio,dominant_regime,replications,seed
0.04124626382901352,0.020309176209047358,0.041656939947776604,9.804010380806131e-05,0.04124626382901352,1.0099566865126388,mechanism ambiguity,40000,2026091603
0.04923882631706739,0.020309176209047358,0.049430098225089966,0.0001001172336593372,0.04923882631706739,1.0038845748838712,mechanism ambiguity,40000,2026091603
0.05878016072274912,0.020309176209047358,0.05888633754383047,0.00010110111735185984,0.05878016072274912,1.0018063377128579,mechanism ambiguity,40000,2026091603
0.07017038286703829,0.020309176209047358,0.07025442059515839,0.00010141351111974726,0.07017038286703829,1.0011976239075016,mechanism ambiguity,40000,2026091603
0.0837677640068292,0.020309176209047358,0.08384844881468395,0.000101471563132523,0.0837677640068292,1.0009631963895822,mechanism ambiguity,40000,2026091603
0.1,0.020309176209047358,0.10008068480785477,0.000101471563132523,0.1,1.0008068480785477,mechanism ambiguity,40000,2026091603
0.1193776641714437,0.020309176209047358,0.11945834897929847,0.000101471563132523,0.1193776641714437,1.0006758785943315,mechanism ambiguity,40000,2026091603
0.14251026703029984,0.020309176209047358,0.1425909518381546,0.000101471563132523,0.14251026703029984,1.0005661683858722,mechanism ambiguity,40000,2026091603
0.17012542798525893,0.020309176209047358,0.17020611279311368,0.00010147156313252301,0.17012542798525893,1.0004742665973587,mechanism ambiguity,40000,2026091603
0.20309176209047358,0.020309176209047358,0.20317244689832833,0.00010147156313252301,0.20309176209047358,1.0003972825240386,mechanism ambiguity,40000,2026091603
0.24244620170823283,0.020309176209047358,0.2425268865160876,0.000101471563132523,0.24244620170823283,1.000332794687177,mechanism ambiguity,40000,2026091603
0.28942661247167517,0.020309176209047358,0.28950729727952995,0.00010147156313252301,0.28942661247167517,1.0002787746681818,mechanism ambiguity,40000,2026091603
0.345510729459222,0.020309176209047358,0.34559141426707674,0.000101471563132523,0.345510729459222,1.0002335233061532,mechanism ambiguity,40000,2026091603
0.41246263829013524,0.020309176209047358,0.4125433230979901,0.000101471563132523,0.41246263829013524,1.0001956172519997,mechanism ambiguity,40000,2026091603
0.49238826317067413,0.020309176209047358,0.4924689479785289,0.00010147156313252301,0.49238826317067413,1.0001638641980115,mechanism ambiguity,40000,2026091603
0.5878016072274915,0.020309176209047358,0.5878822920353463,0.00010147156313252301,0.5878016072274915,1.0001372653746818,mechanism ambiguity,40000,2026091603
0.701703828670383,0.020309176209047358,0.7017845134782378,0.00010147156313252301,0.701703828670383,1.000114984135127,mechanism ambiguity,40000,2026091603
0.837677640068292,0.020309176209047358,0.8377583248761468,0.00010147156313252301,0.837677640068292,1.0000963196389583,mechanism ambiguity,40000,2026091603
1.0,0.020309176209047358,1.0000806848078547,0.00010147156313252301,1.0,1.0000806848078547,mechanism ambiguity,40000,2026091603
0.01,0.024244620170823284,0.020981572385863085,7.88419894140432e-05,0.024244620170823284,0.8654114701748534,sampling noise,40000,2026091603
0.011937766417144363,0.024244620170823284,0.02167743246055659,8.090759550641225e-05,0.024244620170823284,0.8941130984037388,sampling noise,40000,2026091603
0.014251026703029978,0.024244620170823284,0.022649631141838298,8.363229277894013e-05,0.024244620170823284,0.9342126617061032,sampling noise,40000,2026091603
0.017012542798525893,0.024244620170823284,0.023997404839364567,8.714530888804719e-05,0.024244620170823284,0.9898032912160768,sampling noise,40000,2026091603
0.020309176209047358,0.024244620170823284,0.0258517138792011,9.151617217507676e-05,0.024244620170823284,1.066286611093699,sampling noise,40000,2026091603
0.024244620170823284,0.024244620170823284,0.02839110123517886,9.661300647592954e-05,0.024244620170823284,1.171026851942419,mechanism ambiguity,40000,2026091603
0.028942661247167517,0.024244620170823284,0.03180106431796371,0.00010233426316652179,0.028942661247167517,1.0987608930079271,mechanism ambiguity,40000,2026091603
0.0345510729459222,0.024244620170823284,0.03633946446225641,0.00010803051321056047,0.0345510729459222,1.0517608098345694,mechanism ambiguity,40000,2026091603
0.04124626382901352,0.024244620170823284,0.042243807100018495,0.0001130939460145559,0.04124626382901352,1.0241850577094762,mechanism ambiguity,40000,2026091603
0.04923882631706739,0.024244620170823284,0.049729081874956706,0.00011703798587732219,0.04923882631706739,1.0099566865126388,mechanism ambiguity,40000,2026091603
0.05878016072274912,0.024244620170823284,0.05900849665876262,0.00011951761497558314,0.05878016072274912,1.0038845748838712,mechanism ambiguity,40000,2026091603
0.07017038286703829,0.024244620170823284,0.07029713427593672,0.00012069215234588039,0.07017038286703829,1.001806337712858,mechanism ambiguity,40000,2026091603
0.0837677640068292,0.024244620170823284,0.08386808628368174,0.00012106508072900155,0.0837677640068292,1.0011976239075018,mechanism ambiguity,40000,2026091603
0.1,0.024244620170823284,0.10009631963895825,0.00012113438186585774,0.1,1.0009631963895824,mechanism ambiguity,40000,2026091603
0.1193776641714437,0.024244620170823284,0.11947398381040193,0.00012113438186585774,0.1193776641714437,1.0008068480785477,mechanism ambiguity,40000,2026091603
0.14251026703029984,0.024244620170823284,0.14260658666925807,0.00012113438186585774,0.14251026703029984,1.0006758785943315,mechanism ambiguity,40000,2026091603
0.17012542798525893,0.024244620170823284,0.17022174762421716,0.00012113438186585774,0.17012542798525893,1.0005661683858722,mechanism ambiguity,40000,2026091603
0.20309176209047358,0.024244620170823284,0.2031880817294318,0.00012113438186585774,0.20309176209047358,1.0004742665973587,mechanism ambiguity,40000,2026091603
0.24244620170823283,0.024244620170823284,0.24254252134719104,0.00012113438186585774,0.24244620170823283,1.0003972825240386,mechanism ambiguity,40000,2026091603
0.28942661247167517,0.024244620170823284,0.2895229321106334,0.00012113438186585774,0.28942661247167517,1.0003327946871772,mechanism ambiguity,40000,2026091603
