instance,dimension,candidate_count,budget,exhaustive_subset_count,optimal_information_gain,greedy_information_gain,greedy_to_optimal_ratio,random_mean_information_gain,random_mean_to_optimal_ratio,random_q10_to_optimal_ratio,random_q90_to_optimal_ratio,greedy_subset,optimal_subset,random_subsets_per_instance,seed
82,6,12,4,495,4.9175499474028115,4.917549947402813,1.0000000000000004,3.1476766642352376,0.6400904307840684,0.453221282433607,0.808808737145921,4 6 10 11,4 6 10 11,250,2026091604
83,6,12,4,495,4.770166965296031,4.770166965296031,1.0,3.7247209762342974,0.7808366045323835,0.6551337667571481,0.9007676934984318,1 2 4 5,1 2 4 5,250,2026091604
84,6,12,4,495,2.837103083959835,2.8371030839598346,0.9999999999999999,2.140387281372846,0.7544270398470821,0.6396059407931,0.865957561434754,2 8 9 10,2 8 9 10,250,2026091604
85,6,12,4,495,4.361599045909687,4.361599045909687,1.0,3.3516713204391198,0.7684501223427039,0.6593550995373237,0.8741150034211749,0 2 4 6,0 2 4 6,250,2026091604
86,6,12,4,495,5.229318124170621,5.229318124170621,1.0,3.443917544469905,0.6585787023649696,0.5297599940556335,0.7829765771701286,0 6 7 8,0 6 7 8,250,2026091604
87,6,12,4,495,4.514310121645076,4.514310121645076,1.0,3.3669079746317783,0.7458300125390658,0.6163137516164786,0.8895215059089314,0 1 2 11,0 1 2 11,250,2026091604
88,6,12,4,495,4.140078271638773,4.140078271638773,1.0,3.199623405597116,0.7728412835853475,0.6694854749995942,0.8880468099835113,2 6 10 11,2 6 10 11,250,2026091604
89,6,12,4,495,3.495782424033281,3.495782424033281,1.0,2.4642654880472,0.704925304019361,0.5829618404927593,0.8340365567617578,1 5 6 8,1 5 6 8,250,2026091604
90,6,12,4,495,5.392923747742526,5.392923747742526,1.0,3.4807228159026264,0.6454240739746514,0.5104748483924134,0.7825143387671681,1 2 5 7,1 2 5 7,250,2026091604
91,6,12,4,495,3.2920458862982986,3.2920458862982986,1.0,2.5335344518492984,0.7695926907926853,0.6414317723758731,0.9022430065373587,0 6 8 11,0 6 8 11,250,2026091604
92,6,12,4,495,4.334720159934924,4.334720159934924,1.0,3.2714220506217453,0.754702017643247,0.6447282233042809,0.8695025148214496,1 7 10 11,1 7 10 11,250,2026091604
93,6,12,4,495,4.131368891273079,4.131368891273079,1.0,3.133134164127886,0.758376762420364,0.6368944691462324,0.8701576931235504,0 2 4 9,0 2 4 9,250,2026091604
94,6,12,4,495,4.492729957186572,4.492729957186572,1.0,2.9042674254882788,0.6464371224543803,0.5012976664476914,0.8137219859545229,0 4 5 10,0 4 5 10,250,2026091604
95,6,12,4,495,5.514711555084562,5.5147115550845625,1.0000000000000002,3.743331105631486,0.6787900089135462,0.5277553044291419,0.8445791588419906,2 5 6 8,2 5 6 8,250,2026091604
96,6,12,4,495,5.176569293912624,5.176569293912624,1.0,2.9833175483832255,0.5763117190165796,0.39966482666605596,0.7801736389225159,3 5 8 9,3 5 8 9,250,2026091604
97,6,12,4,495,4.013581285319565,4.013581285319565,1.0,2.8582220551476727,0.7121375778789287,0.5889630980438009,0.8624558444635427,1 2 4 5,1 2 4 5,250,2026091604
98,6,12,4,495,3.3267024144066157,3.257888591285027,0.9793147043079106,2.2598451992622097,0.6793048844632827,0.5181997322053079,0.8115392853697623,0 4 6 11,0 1 4 11,250,2026091604
99,6,12,4,495,4.77226325727173,4.77226325727173,1.0,3.5102467255282446,0.7355517783264599,0.5981434488419971,0.8554573734829515,4 7 8 9,4 7 8 9,250,2026091604
100,6,12,4,495,3.9718243479562734,3.9718243479562734,1.0,2.722506162109014,0.6854548246852599,0.5453889812730973,0.834647536194905,0 3 6 11,0 3 6 11,250,2026091604
101,6,12,4,495,4.981812352076414,4.981812352076414,1.0,3.4766795367469836,0.6978744462942102,0.5533680616559086,0.8638402211987989,1 6 8 10,1 6 8 10,250,2026091604
