scenario,schedule,mode,method,tolerance,budget,n_worlds,released_mae,released_bad_rate,n_released,released,bad_release,path_covered,new_n,error,width,certificate_covered
bridgeable,random,rinf,optimized__minimum,0.3,2,600,0.0411784326975,0,162,0.27,0,1,174.88,0.0477874454554,0.632984168973,1
bridgeable,random,rinf,optimized__minimum,0.3,3,600,0.0403255555046,0,191,0.318333333333,0,1,244.96,0.0446603390178,0.604948321555,1
bridgeable,random,rinf,uniform__minimum,0.2,0,600,,,0,0,0,1,0,0.414528817077,1.09816440256,1
bridgeable,random,rinf,uniform__minimum,0.2,1,600,,,0,0,0,1,96,0.283736351271,0.714052708748,1
bridgeable,random,rinf,uniform__minimum,0.2,2,600,,,0,0,0,1,192,0.200843364299,0.624730575583,1
bridgeable,random,rinf,uniform__minimum,0.2,3,600,,,0,0,0,1,288,0.140517983084,0.586973555679,1
bridgeable,random,rinf,uniform__minimum,0.3,0,600,,,0,0,0,1,0,0.414528817077,1.09816440256,1
bridgeable,random,rinf,uniform__minimum,0.3,1,600,,,0,0,0,1,96,0.283736351271,0.714052708748,1
bridgeable,random,rinf,uniform__minimum,0.3,2,600,,,0,0,0,1,192,0.200843364299,0.624730575583,1
bridgeable,random,rinf,uniform__minimum,0.3,3,600,,,0,0,0,1,288,0.140517983084,0.586973555679,1
supported,nearest,r2,inverse_variance__minimum,0.2,0,600,0.0148645186783,0,600,1,0,1,0,0.0148645186783,0.26096522905,1
supported,nearest,r2,inverse_variance__minimum,0.2,1,600,0.0148645186783,0,600,1,0,1,0,0.0148645186783,0.26096522905,1
supported,nearest,r2,inverse_variance__minimum,0.2,2,600,0.0148645186783,0,600,1,0,1,0,0.0148645186783,0.26096522905,1
supported,nearest,r2,inverse_variance__minimum,0.2,3,600,0.0148645186783,0,600,1,0,1,0,0.0148645186783,0.26096522905,1
supported,nearest,r2,inverse_variance__minimum,0.3,0,600,0.0148645186783,0,600,1,0,1,0,0.0148645186783,0.26096522905,1
supported,nearest,r2,inverse_variance__minimum,0.3,1,600,0.0148645186783,0,600,1,0,1,0,0.0148645186783,0.26096522905,1
supported,nearest,r2,inverse_variance__minimum,0.3,2,600,0.0148645186783,0,600,1,0,1,0,0.0148645186783,0.26096522905,1
supported,nearest,r2,inverse_variance__minimum,0.3,3,600,0.0148645186783,0,600,1,0,1,0,0.0148645186783,0.26096522905,1
supported,nearest,r2,nearest_source__minimum,0.2,0,600,0.0309451207633,0,1,0.00166666666667,0,1,0,0.0665819780839,0.401979630866,1
supported,nearest,r2,nearest_source__minimum,0.2,1,600,0.0309451207633,0,1,0.00166666666667,0,1,95.84,0.0827431107094,0.40130670203,1
supported,nearest,r2,nearest_source__minimum,0.2,2,600,0.0309451207633,0,1,0.00166666666667,0,1,191.68,0.0827431107094,0.40111291921,1
supported,nearest,r2,nearest_source__minimum,0.2,3,600,0.0309451207633,0,1,0.00166666666667,0,1,287.52,0.0827431107094,0.40111291921,1
supported,nearest,r2,nearest_source__minimum,0.3,0,600,0.066621584471,0,597,0.995,0,1,0,0.0665819780839,0.518105388345,1
supported,nearest,r2,nearest_source__minimum,0.3,1,600,0.066621584471,0,597,0.995,0,1,0.48,0.0668009778111,0.51806566684,1
supported,nearest,r2,nearest_source__minimum,0.3,2,600,0.066621584471,0,597,0.995,0,1,0.96,0.0668009778111,0.51806566684,1
supported,nearest,r2,nearest_source__minimum,0.3,3,600,0.066621584471,0,597,0.995,0,1,1.44,0.0668009778111,0.51806566684,1
supported,nearest,r2,optimized__barycentric,0.2,0,600,0.0153016868312,0,600,1,0,1,0,0.0153016868312,0.234194753481,1
supported,nearest,r2,optimized__barycentric,0.2,1,600,0.0153016868312,0,600,1,0,1,0,0.0153016868312,0.234194753481,1
supported,nearest,r2,optimized__barycentric,0.2,2,600,0.0153016868312,0,600,1,0,1,0,0.0153016868312,0.234194753481,1
supported,nearest,r2,optimized__barycentric,0.2,3,600,0.0153016868312,0,600,1,0,1,0,0.0153016868312,0.234194753481,1
supported,nearest,r2,optimized__barycentric,0.3,0,600,0.0153016868312,0,600,1,0,1,0,0.0153016868312,0.234194753481,1
supported,nearest,r2,optimized__barycentric,0.3,1,600,0.0153016868312,0,600,1,0,1,0,0.0153016868312,0.234194753481,1
supported,nearest,r2,optimized__barycentric,0.3,2,600,0.0153016868312,0,600,1,0,1,0,0.0153016868312,0.234194753481,1
supported,nearest,r2,optimized__barycentric,0.3,3,600,0.0153016868312,0,600,1,0,1,0,0.0153016868312,0.234194753481,1
supported,nearest,r2,optimized__lipschitz,0.2,0,600,0.012129179083,0,20,0.0333333333333,0,1,0,0.0159720377666,0.403384541505,1
supported,nearest,r2,optimized__lipschitz,0.2,1,600,0.0173393709146,0,54,0.09,0,1,92.8,0.0165515840342,0.403440733901,1
supported,nearest,r2,optimized__lipschitz,0.2,2,600,0.0173393709146,0,54,0.09,0,1,180.16,0.0165532335322,0.403246951081,1
supported,nearest,r2,optimized__lipschitz,0.2,3,600,0.0173393709146,0,54,0.09,0,1,267.52,0.016553255546,0.403246951081,1
supported,nearest,r2,optimized__lipschitz,0.3,0,600,0.0159720377666,0,600,1,0,1,0,0.0159720377666,0.439486991849,1
supported,nearest,r2,optimized__lipschitz,0.3,1,600,0.0159720377666,0,600,1,0,1,0,0.0159720377666,0.439486991849,1
supported,nearest,r2,optimized__lipschitz,0.3,2,600,0.0159720377666,0,600,1,0,1,0,0.0159720377666,0.439486991849,1
supported,nearest,r2,optimized__lipschitz,0.3,3,600,0.0159720377666,0,600,1,0,1,0,0.0159720377666,0.439486991849,1
supported,nearest,r2,optimized__minimum,0.2,0,600,0.0153016868312,0,600,1,0,1,0,0.0153016868312,0.234194753481,1
supported,nearest,r2,optimized__minimum,0.2,1,600,0.0153016868312,0,600,1,0,1,0,0.0153016868312,0.234194753481,1
