surface,scenario,schedule,mode,method,tolerance,budget,n_worlds,released_mae,released_bad_rate,n_released,released,bad_release,path_covered,new_n,error,width,certificate_covered
linear,bridgeable,random,r2,optimized__barycentric,0.2,3,200,0.0304092266836,0,178,0.89,0,1,288,0.0323872692316,0.350138467699,1
linear,bridgeable,random,r2,optimized__barycentric,0.3,0,200,,,0,0,0,1,0,0.38006644792,1.05924452036,1
linear,bridgeable,random,r2,optimized__barycentric,0.3,1,200,0.0418158275586,0,132,0.66,0,1,96,0.0823958883602,0.583062593388,1
linear,bridgeable,random,r2,optimized__barycentric,0.3,2,200,0.0380951532901,0,191,0.955,0,1,192,0.0404231885528,0.416308588584,1
linear,bridgeable,random,r2,optimized__barycentric,0.3,3,200,0.0323872692316,0,200,1,0,1,288,0.0323872692316,0.350138467699,1
linear,bridgeable,random,r2,optimized__lipschitz,0.2,0,200,,,0,0,0,1,0,0.3743328216,1.07363827547,1
linear,bridgeable,random,r2,optimized__lipschitz,0.2,1,200,,,0,0,0,1,96,0.277640129791,1.01071064298,1
linear,bridgeable,random,r2,optimized__lipschitz,0.2,2,200,,,0,0,0,1,192,0.197410037644,0.946066392805,1
linear,bridgeable,random,r2,optimized__lipschitz,0.2,3,200,,,0,0,0,1,288,0.145368758746,0.885934612864,1
linear,bridgeable,random,r2,optimized__lipschitz,0.3,0,200,,,0,0,0,1,0,0.3743328216,1.07363827547,1
linear,bridgeable,random,r2,optimized__lipschitz,0.3,1,200,,,0,0,0,1,96,0.277640129791,1.01071064298,1
linear,bridgeable,random,r2,optimized__lipschitz,0.3,2,200,,,0,0,0,1,192,0.197410037644,0.946066392805,1
linear,bridgeable,random,r2,optimized__lipschitz,0.3,3,200,,,0,0,0,1,288,0.145368758746,0.885934612864,1
linear,bridgeable,random,r2,optimized__minimum,0.2,0,200,,,0,0,0,1,0,0.38006644792,1.05924452036,1
linear,bridgeable,random,r2,optimized__minimum,0.2,1,200,0.0353205389487,0,42,0.21,0,1,96,0.0823958883602,0.583062593388,1
linear,bridgeable,random,r2,optimized__minimum,0.2,2,200,0.0334848921965,0,124,0.62,0,1,192,0.0404231885528,0.416308588584,1
linear,bridgeable,random,r2,optimized__minimum,0.2,3,200,0.0304092266836,0,178,0.89,0,1,288,0.0323872692316,0.350138467699,1
linear,bridgeable,random,r2,optimized__minimum,0.3,0,200,,,0,0,0,1,0,0.38006644792,1.05924452036,1
linear,bridgeable,random,r2,optimized__minimum,0.3,1,200,0.0418158275586,0,132,0.66,0,1,96,0.0823958883602,0.583062593388,1
linear,bridgeable,random,r2,optimized__minimum,0.3,2,200,0.0380951532901,0,191,0.955,0,1,192,0.0404231885528,0.416308588584,1
linear,bridgeable,random,r2,optimized__minimum,0.3,3,200,0.0323872692316,0,200,1,0,1,288,0.0323872692316,0.350138467699,1
linear,bridgeable,random,r2,uniform__minimum,0.2,0,200,,,0,0,0,1,0,0.462528617988,1.1628125592,1
linear,bridgeable,random,r2,uniform__minimum,0.2,1,200,,,0,0,0,1,96,0.313480997969,0.907589778095,1
linear,bridgeable,random,r2,uniform__minimum,0.2,2,200,,,0,0,0,1,192,0.222997265596,0.73765515496,1
linear,bridgeable,random,r2,uniform__minimum,0.2,3,200,0.0382029208798,0,8,0.04,0,1,288,0.156254293552,0.605906451488,1
linear,bridgeable,random,r2,uniform__minimum,0.3,0,200,,,0,0,0,1,0,0.462528617988,1.1628125592,1
linear,bridgeable,random,r2,uniform__minimum,0.3,1,200,,,0,0,0,1,96,0.313480997969,0.907589778095,1
linear,bridgeable,random,r2,uniform__minimum,0.3,2,200,0.133727472856,0,28,0.14,0,1,192,0.222997265596,0.73765515496,1
linear,bridgeable,random,r2,uniform__minimum,0.3,3,200,0.110342590572,0,98,0.49,0,1,288,0.156254293552,0.605906451488,1
linear,bridgeable,random,rinf,inverse_variance__minimum,0.2,0,200,,,0,0,0,1,0,0.462528617988,1.28750059651,1
linear,bridgeable,random,rinf,inverse_variance__minimum,0.2,1,200,,,0,0,0,1,96,0.440822653908,1.25668866189,1
linear,bridgeable,random,rinf,inverse_variance__minimum,0.2,2,200,,,0,0,0,1,192,0.421853482676,1.23089742855,1
linear,bridgeable,random,rinf,inverse_variance__minimum,0.2,3,200,,,0,0,0,1,288,0.403521638051,1.20579263594,1
linear,bridgeable,random,rinf,inverse_variance__minimum,0.3,0,200,,,0,0,0,1,0,0.462528617988,1.28750059651,1
linear,bridgeable,random,rinf,inverse_variance__minimum,0.3,1,200,,,0,0,0,1,96,0.440822653908,1.25668866189,1
linear,bridgeable,random,rinf,inverse_variance__minimum,0.3,2,200,,,0,0,0,1,192,0.421853482676,1.23089742855,1
linear,bridgeable,random,rinf,inverse_variance__minimum,0.3,3,200,,,0,0,0,1,288,0.403521638051,1.20579263594,1
linear,bridgeable,random,rinf,nearest_source__minimum,0.2,0,200,,,0,0,0,1,0,0.353978568859,1.09508964326,1
linear,bridgeable,random,rinf,nearest_source__minimum,0.2,1,200,,,0,0,0,1,96,0.255913914472,1.1099260259,1
linear,bridgeable,random,rinf,nearest_source__minimum,0.2,2,200,,,0,0,0,1,192,0.174801489032,1.091873788,1
linear,bridgeable,random,rinf,nearest_source__minimum,0.2,3,200,,,0,0,0,1,288,0.140448711456,1.02982246112,1
linear,bridgeable,random,rinf,nearest_source__minimum,0.3,0,200,,,0,0,0,1,0,0.353978568859,1.09508964326,1
linear,bridgeable,random,rinf,nearest_source__minimum,0.3,1,200,,,0,0,0,1,96,0.255913914472,1.1099260259,1
linear,bridgeable,random,rinf,nearest_source__minimum,0.3,2,200,,,0,0,0,1,192,0.174801489032,1.091873788,1
linear,bridgeable,random,rinf,nearest_source__minimum,0.3,3,200,,,0,0,0,1,288,0.140448711456,1.02982246112,1
linear,bridgeable,random,rinf,optimized__barycentric,0.2,0,200,,,0,0,0,1,0,0.354862530947,1.09470705965,1
linear,bridgeable,random,rinf,optimized__barycentric,0.2,1,200,,,0,0,0,1,96,0.0840566250378,0.681829940751,1
linear,bridgeable,random,rinf,optimized__barycentric,0.2,2,200,,,0,0,0,1,192,0.044362148875,0.575701618743,1
linear,bridgeable,random,rinf,optimized__barycentric,0.2,3,200,,,0,0,0,1,288,0.0400946481859,0.546674236544,1
linear,bridgeable,random,rinf,optimized__barycentric,0.3,0,200,,,0,0,0,1,0,0.354862530947,1.09470705965,1
linear,bridgeable,random,rinf,optimized__barycentric,0.3,1,200,0.0355850725253,0,107,0.535,0,1,96,0.0840566250378,0.681829940751,1
linear,bridgeable,random,rinf,optimized__barycentric,0.3,2,200,0.0390301996277,0,160,0.8,0,1,192,0.044362148875,0.575701618743,1
linear,bridgeable,random,rinf,optimized__barycentric,0.3,3,200,0.0386641509122,0,187,0.935,0,1,288,0.0400946481859,0.546674236544,1
linear,bridgeable,random,rinf,optimized__lipschitz,0.2,0,200,,,0,0,0,1,0,0.353978568859,1.09508964326,1
linear,bridgeable,random,rinf,optimized__lipschitz,0.2,1,200,,,0,0,0,1,96,0.301630638206,1.05433703409,1
linear,bridgeable,random,rinf,optimized__lipschitz,0.2,2,200,,,0,0,0,1,192,0.252897330434,1.01596180952,1
linear,bridgeable,random,rinf,optimized__lipschitz,0.2,3,200,,,0,0,0,1,288,0.207298688197,0.973808550216,1
linear,bridgeable,random,rinf,optimized__lipschitz,0.3,0,200,,,0,0,0,1,0,0.353978568859,1.09508964326,1
