surface,scenario,schedule,mode,stage,bar_minus_min,lip_minus_min,bar_tighter,lip_tighter
sinusoidal,bridgeable,random,rinf,0,0,3.17929403023e-06,0.005,0
sinusoidal,bridgeable,random,rinf,1,5.55111512313e-19,0.224661804571,0.785,0
sinusoidal,bridgeable,random,rinf,2,0,0.302191416121,0.965,0
sinusoidal,bridgeable,random,rinf,3,0,0.323033113765,1,0
sinusoidal,supported,nearest,r2,0,0,0.0990737325138,1,0
sinusoidal,supported,nearest,r2,1,0,0.0965539671009,1,0
sinusoidal,supported,nearest,r2,2,0,0.0984992210122,1,0
sinusoidal,supported,nearest,r2,3,0,0.100844586154,1,0
sinusoidal,supported,nearest,rinf,0,0,0.0917153595705,1,0
sinusoidal,supported,nearest,rinf,1,0,0.0917151166123,1,0
sinusoidal,supported,nearest,rinf,2,0,0.0917151172167,1,0
sinusoidal,supported,nearest,rinf,3,0,0.0917151175663,1,0
sinusoidal,supported,random,r2,0,0,0.0990737325138,1,0
sinusoidal,supported,random,r2,1,0,0.100428515388,1,0
sinusoidal,supported,random,r2,2,0,0.101532517881,1,0
sinusoidal,supported,random,r2,3,0,0.102213940297,1,0
sinusoidal,supported,random,rinf,0,0,0.0917153595705,1,0
sinusoidal,supported,random,rinf,1,0,0.0917151149961,1,0
sinusoidal,supported,random,rinf,2,0,0.0917151158728,1,0
sinusoidal,supported,random,rinf,3,0,0.0917151181991,1,0
sinusoidal,unreachable,nearest,r2,0,0.00108075245051,0,0,0.83
sinusoidal,unreachable,nearest,r2,1,0.00236323530941,7.77156117238e-18,0,0.27
sinusoidal,unreachable,nearest,r2,2,0.00220859675081,0,0,1
sinusoidal,unreachable,nearest,r2,3,0.00311773219054,0,0,1
sinusoidal,unreachable,nearest,rinf,0,7.77156117238e-18,2.22044604925e-18,0,0
sinusoidal,unreachable,nearest,rinf,1,5.55111512313e-18,4.4408920985e-18,0,0
sinusoidal,unreachable,nearest,rinf,2,1.88737914186e-17,1.11022302463e-17,0,0
sinusoidal,unreachable,nearest,rinf,3,2.99760216649e-17,1.22124532709e-17,0,0
sinusoidal,unreachable,random,r2,0,0.00108075245051,0,0,0.83
sinusoidal,unreachable,random,r2,1,0.00430740822421,1.11022302463e-18,0,0.92
sinusoidal,unreachable,random,r2,2,0.0052217310407,0,0,0.965
sinusoidal,unreachable,random,r2,3,0.00492755031144,0,0,0.985
sinusoidal,unreachable,random,rinf,0,7.77156117238e-18,2.22044604925e-18,0,0
sinusoidal,unreachable,random,rinf,1,2.10942374679e-17,1.11022302463e-17,0,0
sinusoidal,unreachable,random,rinf,2,2.88657986403e-17,1.44328993201e-17,0,0
sinusoidal,unreachable,random,rinf,3,2.77555756156e-17,1.33226762955e-17,0,0
