surface,scenario,schedule,mode,method,tolerance,budget,n_worlds,released_mae,released_bad_rate,n_released,released,bad_release,path_covered,new_n,error,width,certificate_covered
linear,bridgeable,random,r2,nearest_source__minimum,0.3,2,200,,,0,0,0,1,192,0.174801489032,0.545624999259,1
linear,bridgeable,random,r2,nearest_source__minimum,0.3,3,200,,,0,0,0,1,288,0.140448711456,0.513830025996,1
linear,bridgeable,random,r2,optimized__barycentric,0.2,0,200,,,0,0,0,1,0,0.38006644792,1.06450443808,1
linear,bridgeable,random,r2,optimized__barycentric,0.2,1,200,0.0353205389487,0,42,0.21,0,1,96,0.0823958883602,0.586636495894,1
linear,bridgeable,random,r2,optimized__barycentric,0.2,2,200,0.0341748940491,0,124,0.62,0,1,171.84,0.0408509897014,0.444799979774,1
linear,bridgeable,random,r2,optimized__barycentric,0.2,3,200,0.0327314473775,0,178,0.89,0,1,208.32,0.0344540456491,0.385497250757,1
linear,bridgeable,random,r2,optimized__barycentric,0.3,0,200,,,0,0,0,1,0,0.38006644792,1.06450443808,1
linear,bridgeable,random,r2,optimized__barycentric,0.3,1,200,0.0418158275586,0,132,0.66,0,1,96,0.0823958883602,0.53976753549,1
linear,bridgeable,random,r2,optimized__barycentric,0.3,2,200,0.041750364689,0,191,0.955,0,1,128.64,0.0439139154387,0.45469517844,1
linear,bridgeable,random,r2,optimized__barycentric,0.3,3,200,0.0409965395352,0,200,1,0,1,132.96,0.0409965395352,0.444822076851,1
linear,bridgeable,random,r2,optimized__lipschitz,0.2,0,200,,,0,0,0,1,0,0.3743328216,1.06450443808,1
linear,bridgeable,random,r2,optimized__lipschitz,0.2,1,200,,,0,0,0,1,96,0.277640129791,0.633563190714,1
linear,bridgeable,random,r2,optimized__lipschitz,0.2,2,200,,,0,0,0,1,192,0.197410037644,0.545624999259,1
linear,bridgeable,random,r2,optimized__lipschitz,0.2,3,200,,,0,0,0,1,288,0.145368758746,0.513830025996,1
linear,bridgeable,random,r2,optimized__lipschitz,0.3,0,200,,,0,0,0,1,0,0.3743328216,1.06450443808,1
linear,bridgeable,random,r2,optimized__lipschitz,0.3,1,200,,,0,0,0,1,96,0.277640129791,0.633563190714,1
linear,bridgeable,random,r2,optimized__lipschitz,0.3,2,200,,,0,0,0,1,192,0.197410037644,0.545624999259,1
linear,bridgeable,random,r2,optimized__lipschitz,0.3,3,200,,,0,0,0,1,288,0.145368758746,0.513830025996,1
linear,bridgeable,random,r2,optimized__minimum,0.2,0,200,,,0,0,0,1,0,0.38006644792,1.06450443808,1
linear,bridgeable,random,r2,optimized__minimum,0.2,1,200,0.0353205389487,0,42,0.21,0,1,96,0.0823958883602,0.586636495894,1
