scenario,schedule,mode,tolerance,regime,reference,comparator,metric,difference,lower,upper,n_worlds
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,uniform__minimum,error,-0.175546463174,-0.179930083782,-0.171277536213,600
bridgeable,nearest,rinf,0.2,stopped,optimized__minimum,uniform__minimum,width,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,inverse_variance__minimum,released,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,inverse_variance__minimum,bad_release,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,inverse_variance__minimum,path_covered,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,inverse_variance__minimum,new_n,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,inverse_variance__minimum,error,-0.319578909783,-0.323444151839,-0.315459417932,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,inverse_variance__minimum,width,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,nearest_source__minimum,released,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,nearest_source__minimum,bad_release,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,nearest_source__minimum,path_covered,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,nearest_source__minimum,new_n,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,nearest_source__minimum,error,-0.0171077123991,-0.0227395654131,-0.0115883880734,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,nearest_source__minimum,width,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,optimized__barycentric,released,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,optimized__barycentric,bad_release,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,optimized__barycentric,path_covered,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,optimized__barycentric,new_n,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,optimized__barycentric,error,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,optimized__barycentric,width,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,optimized__lipschitz,released,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,optimized__lipschitz,bad_release,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,optimized__lipschitz,path_covered,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,optimized__lipschitz,new_n,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,optimized__lipschitz,error,-0.0171077123991,-0.0229250425638,-0.0114039078812,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,optimized__lipschitz,width,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,uniform__minimum,released,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,uniform__minimum,bad_release,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,uniform__minimum,path_covered,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,uniform__minimum,new_n,0,0,0,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,uniform__minimum,error,-0.175546463174,-0.179941937358,-0.171033127001,600
bridgeable,nearest,rinf,0.3,stopped,optimized__minimum,uniform__minimum,width,0,0,0,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,inverse_variance__minimum,released,0.385,0.36,0.41,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,inverse_variance__minimum,bad_release,0,0,0,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,inverse_variance__minimum,path_covered,0,0,0,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,inverse_variance__minimum,new_n,-26.56,-29.76,-23.2,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,inverse_variance__minimum,error,-0.327614766898,-0.330411969496,-0.324924270118,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,inverse_variance__minimum,width,-0.0727127261807,-0.0816543432846,-0.0642234617755,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,nearest_source__minimum,released,0.385,0.361666666667,0.410041666667,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,nearest_source__minimum,bad_release,0,0,0,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,nearest_source__minimum,path_covered,0,0,0,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,nearest_source__minimum,new_n,-26.56,-29.92,-23.36,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,nearest_source__minimum,error,-0.0966245978314,-0.104767579244,-0.088231571012,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,nearest_source__minimum,width,-0.0727127261807,-0.0816317775354,-0.0637124273169,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,optimized__barycentric,released,0,0,0,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,optimized__barycentric,bad_release,0,0,0,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,optimized__barycentric,path_covered,0,0,0,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,optimized__barycentric,new_n,0,0,0,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,optimized__barycentric,error,0,0,0,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,optimized__barycentric,width,0,0,0,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,optimized__lipschitz,released,0.385,0.358333333333,0.408375,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,optimized__lipschitz,bad_release,0,0,0,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,optimized__lipschitz,path_covered,0,0,0,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,optimized__lipschitz,new_n,-26.56,-29.92,-23.2,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,optimized__lipschitz,error,-0.0870987975549,-0.093999524211,-0.0800477306955,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,optimized__lipschitz,width,-0.0727127261807,-0.0812696442523,-0.0640731952424,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,uniform__minimum,released,0.371666666667,0.345,0.398333333333,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,uniform__minimum,bad_release,0,0,0,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,uniform__minimum,path_covered,0,0,0,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,uniform__minimum,new_n,-26.56,-29.76,-23.36,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,uniform__minimum,error,-0.106440021192,-0.111662562079,-0.101442505772,600
bridgeable,random,r2,0.2,stopped,optimized__minimum,uniform__minimum,width,-0.0708112508232,-0.079437116675,-0.0622084679827,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,inverse_variance__minimum,released,1,1,1,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,inverse_variance__minimum,bad_release,0,0,0,600
bridgeable,random,r2,0.3,stopped,optimized__minimum,inverse_variance__minimum,path_covered,0,0,0,600
