delta,n_released,release_rate,mae,rmse,coverage,mean_interval_width
0.33348324731796564,55,0.9649122807017544,0.07863036819295653,0.09285012934433115,0.9818181818181818,0.39692852335555595
0.33786526712538756,55,0.9649122807017544,0.07863036819295653,0.09285012934433115,0.9818181818181818,0.39692852335555595
0.3422472869328095,55,0.9649122807017544,0.07863036819295653,0.09285012934433115,0.9818181818181818,0.39692852335555595
0.3466293067402315,55,0.9649122807017544,0.07863036819295653,0.09285012934433115,0.9818181818181818,0.39692852335555595
0.35101132654765343,55,0.9649122807017544,0.07863036819295653,0.09285012934433115,0.9818181818181818,0.39692852335555595
0.35539334635507536,55,0.9649122807017544,0.07863036819295653,0.09285012934433115,0.9818181818181818,0.39692852335555595
0.3597753661624974,55,0.9649122807017544,0.07863036819295653,0.09285012934433115,0.9818181818181818,0.39692852335555595
0.3641573859699193,55,0.9649122807017544,0.07863036819295653,0.09285012934433115,0.9818181818181818,0.39692852335555595
0.36853940577734123,55,0.9649122807017544,0.07863036819295653,0.09285012934433115,0.9818181818181818,0.39692852335555595
0.37292142558476327,55,0.9649122807017544,0.07863036819295653,0.09285012934433115,0.9818181818181818,0.39692852335555595
0.3773034453921852,55,0.9649122807017544,0.07863036819295653,0.09285012934433115,0.9818181818181818,0.39692852335555595
0.3816854651996071,55,0.9649122807017544,0.07863036819295653,0.09285012934433115,0.9818181818181818,0.39692852335555595
0.38606748500702914,55,0.9649122807017544,0.07863036819295653,0.09285012934433115,0.9818181818181818,0.39692852335555595
0.39044950481445106,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.394831524621873,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.399213544429295,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.40359556423671694,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.40797758404413886,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.4123596038515609,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.4167416236589828,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.42112364346640474,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.4255056632738268,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.4298876830812487,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.4342697028886706,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.43865172269609265,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.44303374250351457,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.4474157623109365,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.4517977821183585,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.45617980192578045,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.46056182173320237,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.4649438415406244,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.4693258613480463,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.47370788115546825,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.4780899009628903,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.4824719207703122,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.4868539405777341,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.49123596038515616,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.4956179801925781,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
0.5,56,0.9824561403508771,0.08129692117789264,0.09692850875210958,0.9821428571428571,0.40372796540286365
