scenario,replicate,status,q,joint_set_covered,mechanisms,proxies,boxes,effects,noise_sd,beta,L,H,optimization_seconds
bounded_nuisance_bias,107,evaluated,2.5174820276,True,"[-0.3262373741390054, 0.3704180414522984, 0.21643915819883075, -0.7652248403657101, -0.6648396736320898]","[-0.44488217514189166, 0.3643650559949809, 0.1729139144804557, -0.6951491928593054, -0.6429028808973494]","[[-0.5959310967980378, -0.2938332534857455], [0.21331613433883478, 0.5154139776511271], [0.021864992824309565, 0.3239628361366018], [-0.8461981145154516, -0.5441002712031593], [-0.7939518025534955, -0.49185395924120323]]","[-0.2810159128394774, 0.35155023056710044, 0.0502847286705667, -0.3752761797143667]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.0636305
nominal,108,evaluated,2.57971533102,True,"[0.10054430093386169, 0.2940377011765636, -0.5249198605886849, -0.12399420905128511, 0.37052180785950983]","[0.10553495877318486, 0.36406933345497366, -0.5581069143010373, -0.06060233724303046, 0.32111694926931655]","[[-0.04924796108822346, 0.2603178786345932], [0.20928641359356534, 0.518852253316382], [-0.7128898341624457, -0.40332399443962896], [-0.2153852571044388, 0.09418058261837786], [0.16633402940790823, 0.4758998691307249]]","[0.02339046965733735, 0.3157470677602682, -0.303034647778582, -0.041066880114588554]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0418385999999
extrapolation,108,evaluated,2.57971533102,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.6950093421606768, -0.47996836772158985, -0.4331870537123524, -0.18660812819174535, 0.9005951414098067]","[[-0.8497922620220851, -0.5402264222992684], [-0.6347512875829981, -0.32518544786018155], [-0.5879699735737607, -0.2784041338509441], [-0.3413910480531537, -0.03182520833033703], [0.7458122215483983, 1.0]]","[-0.3129688578380634, -0.12586300385962937, -0.2627449894375044, -0.10253272384729364]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00823620000006
proxy_shift,108,evaluated,2.57971533102,False,"[0.10054430093386169, 0.2940377011765636, -0.5249198605886849, -0.12399420905128511, 0.37052180785950983]","[0.11551627445183121, 0.5041325980117939, -0.6244810217257422, 0.06618140637347883, 0.2223072320889299]","[[-0.03926664540957711, 0.27029919431323957], [0.34934967815038553, 0.6589155178732022], [-0.7792639415871505, -0.4696981018643338], [-0.0886015134879295, 0.22096432623488715], [0.06752431222752159, 0.37709015195033824]]","[0.02339046965733735, 0.3157470677602682, -0.303034647778582, -0.041066880114588554]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0395271
understated_LH,108,evaluated,2.57971533102,True,"[0.10054430093386169, 0.2940377011765636, -0.5249198605886849, -0.12399420905128511, 0.37052180785950983]","[0.10553495877318486, 0.36406933345497366, -0.5581069143010373, -0.06060233724303046, 0.32111694926931655]","[[-0.04924796108822346, 0.2603178786345932], [0.20928641359356534, 0.518852253316382], [-0.7128898341624457, -0.40332399443962896], [-0.2153852571044388, 0.09418058261837786], [0.16633402940790823, 0.4758998691307249]]","[0.02339046965733735, 0.3157470677602682, -0.303034647778582, -0.041066880114588554]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0111445
high_noise,108,evaluated,2.57971533102,True,"[0.10054430093386169, 0.2940377011765636, -0.5249198605886849, -0.12399420905128511, 0.37052180785950983]","[0.10553495877318486, 0.36406933345497366, -0.5581069143010373, -0.06060233724303046, 0.32111694926931655]","[[-0.04924796108822346, 0.2603178786345932], [0.20928641359356534, 0.518852253316382], [-0.7128898341624457, -0.40332399443962896], [-0.2153852571044388, 0.09418058261837786], [0.16633402940790823, 0.4758998691307249]]","[-0.05654724601878933, 0.5425210600410094, -0.4445246266535908, 0.01636767219082419]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0662338
bounded_nuisance_bias,108,evaluated,2.57971533102,True,"[0.10054430093386169, 0.2940377011765636, -0.5249198605886849, -0.12399420905128511, 0.37052180785950983]","[0.10553495877318486, 0.36406933345497366, -0.5581069143010373, -0.06060233724303046, 0.32111694926931655]","[[-0.04924796108822346, 0.2603178786345932], [0.20928641359356534, 0.518852253316382], [-0.7128898341624457, -0.40332399443962896], [-0.2153852571044388, 0.09418058261837786], [0.16633402940790823, 0.4758998691307249]]","[-0.03660953034266265, 0.37574706776026817, -0.363034647778582, 0.018933119885411444]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.0435712000001
nominal,109,evaluated,2.55367808156,True,"[-0.4013120404299098, 0.7325112421727966, -0.5467251166895133, 0.25105788704435916, -0.5658231821091807]","[-0.5057503151916375, 0.7350202622550417, -0.5787770248989015, 0.189343537459081, -0.5610016047636317]","[[-0.6589710000850398, -0.35252963029823514], [0.5817995773616393, 0.888240947148444], [-0.7319977097923038, -0.42555634000549913], [0.036122852565678654, 0.34256422235248335], [-0.714222289657034, -0.40778091987022935]]","[-0.1895114580807842, 0.6192518742135753, -0.24518374357475756, 0.22524367732285222]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0176853
extrapolation,109,evaluated,2.55367808156,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.8044382747617276, -0.5474909799177549, -0.4320519082093882, -0.31171434958527816, 0.954821577345549]","[[-0.9576589596551299, -0.6512175898683252], [-0.7007116648111572, -0.3942702950243525], [-0.5852725931027906, -0.27883122331598587], [-0.4649350344786805, -0.1584936646918758], [0.8016008924521466, 1.0]]","[-0.2700396399610436, -0.22047668706296264, -0.19882117952679815, -0.07555007369791675]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0117287999999
proxy_shift,109,evaluated,2.55367808156,False,"[-0.4013120404299098, 0.7325112421727966, -0.5467251166895133, 0.25105788704435916, -0.5658231821091807]","[-0.7146268647150928, 0.7400383024195317, -0.642880841317678, 0.06591483828852462, -0.5513584500725337]","[[-0.8678475496084952, -0.5614061798216905], [0.5868176175261294, 0.8932589873129341], [-0.7961015262110803, -0.4896601564242756], [-0.08730584660487772, 0.21913552318192697], [-0.704579134965936, -0.39813776517913135]]","[-0.1895114580807842, 0.6192518742135753, -0.24518374357475756, 0.22524367732285222]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0595264999999
understated_LH,109,evaluated,2.55367808156,True,"[-0.4013120404299098, 0.7325112421727966, -0.5467251166895133, 0.25105788704435916, -0.5658231821091807]","[-0.5057503151916375, 0.7350202622550417, -0.5787770248989015, 0.189343537459081, -0.5610016047636317]","[[-0.6589710000850398, -0.35252963029823514], [0.5817995773616393, 0.888240947148444], [-0.7319977097923038, -0.42555634000549913], [0.036122852565678654, 0.34256422235248335], [-0.714222289657034, -0.40778091987022935]]","[-0.1895114580807842, 0.6192518742135753, -0.24518374357475756, 0.22524367732285222]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0120652000001
high_noise,109,evaluated,2.55367808156,True,"[-0.4013120404299098, 0.7325112421727966, -0.5467251166895133, 0.25105788704435916, -0.5658231821091807]","[-0.5057503151916375, 0.7350202622550417, -0.5787770248989015, 0.189343537459081, -0.5610016047636317]","[[-0.6589710000850398, -0.35252963029823514], [0.5817995773616393, 0.888240947148444], [-0.7319977097923038, -0.42555634000549913], [0.036122852565678654, 0.34256422235248335], [-0.714222289657034, -0.40778091987022935]]","[-0.18359073800287135, 0.65679850008765, -0.25882610262835387, 0.33664352992701874]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0130417
bounded_nuisance_bias,109,evaluated,2.55367808156,True,"[-0.4013120404299098, 0.7325112421727966, -0.5467251166895133, 0.25105788704435916, -0.5658231821091807]","[-0.5057503151916375, 0.7350202622550417, -0.5787770248989015, 0.189343537459081, -0.5610016047636317]","[[-0.6589710000850398, -0.35252963029823514], [0.5817995773616393, 0.888240947148444], [-0.7319977097923038, -0.42555634000549913], [0.036122852565678654, 0.34256422235248335], [-0.714222289657034, -0.40778091987022935]]","[-0.2495114580807842, 0.6792518742135754, -0.3051837435747575, 0.2852436773228522]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.0196040000001
nominal,110,evaluated,2.50280491935,True,"[0.2289167364339988, 0.010702059231636696, 0.42353869199152383, 0.47672229036548663, 0.5862144513869929]","[0.31395019740413393, -0.062019821774126266, 0.4492551520546413, 0.46581430088944414, 0.5762989988139228]","[[0.16378190224320505, 0.4641184925650628], [-0.21218811693505515, 0.08814847338680262], [0.2990868568937124, 0.5994234472155702], [0.31564600572851526, 0.6159825960503731], [0.4261307036529939, 0.7264672939748517]]","[0.12873997063639048, -0.01809525670101196, 0.24721024611830336, 0.3181795448395944]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0166495000001
extrapolation,110,evaluated,2.50280491935,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.6149665390298649, -0.6227218810057629, -0.3742835399368825, -0.2609079894760425, 0.9400845474269298]","[[-0.7651348341907938, -0.464798243868936], [-0.7728901761666918, -0.472553585844834], [-0.5244518350978113, -0.22411524477595363], [-0.4110762846369714, -0.1107396943151136], [0.7899162522660009, 1.0]]","[-0.29733093288988666, -0.2638008524615332, -0.25272847616077815, -0.16728307201909223]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0134073000002
proxy_shift,110,evaluated,2.50280491935,False,"[0.2289167364339988, 0.010702059231636696, 0.42353869199152383, 0.47672229036548663, 0.5862144513869929]","[0.48401711934440417, -0.2074635837856522, 0.5006880721808762, 0.4439983219373592, 0.5564680936677825]","[[0.3338488241834753, 0.6341854145053331], [-0.3576318789465811, -0.0572952886247233], [0.3505197770199473, 0.6508563673418051], [0.29383002677643033, 0.5941666170982881], [0.4062997985068536, 0.7066363888287114]]","[0.12873997063639048, -0.01809525670101196, 0.24721024611830336, 0.3181795448395944]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0119235
understated_LH,110,evaluated,2.50280491935,True,"[0.2289167364339988, 0.010702059231636696, 0.42353869199152383, 0.47672229036548663, 0.5862144513869929]","[0.31395019740413393, -0.062019821774126266, 0.4492551520546413, 0.46581430088944414, 0.5762989988139228]","[[0.16378190224320505, 0.4641184925650628], [-0.21218811693505515, 0.08814847338680262], [0.2990868568937124, 0.5994234472155702], [0.31564600572851526, 0.6159825960503731], [0.4261307036529939, 0.7264672939748517]]","[0.12873997063639048, -0.01809525670101196, 0.24721024611830336, 0.3181795448395944]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.00980229999982
high_noise,110,evaluated,2.50280491935,True,"[0.2289167364339988, 0.010702059231636696, 0.42353869199152383, 0.47672229036548663, 0.5862144513869929]","[0.31395019740413393, -0.062019821774126266, 0.4492551520546413, 0.46581430088944414, 0.5762989988139228]","[[0.16378190224320505, 0.4641184925650628], [-0.21218811693505515, 0.08814847338680262], [0.2990868568937124, 0.5994234472155702], [0.31564600572851526, 0.6159825960503731], [0.4261307036529939, 0.7264672939748517]]","[0.08007810485661725, -0.0671969616240784, 0.12575329379674702, 0.24611340080140992]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00882430000001
bounded_nuisance_bias,110,evaluated,2.50280491935,True,"[0.2289167364339988, 0.010702059231636696, 0.42353869199152383, 0.47672229036548663, 0.5862144513869929]","[0.31395019740413393, -0.062019821774126266, 0.4492551520546413, 0.46581430088944414, 0.5762989988139228]","[[0.16378190224320505, 0.4641184925650628], [-0.21218811693505515, 0.08814847338680262], [0.2990868568937124, 0.5994234472155702], [0.31564600572851526, 0.6159825960503731], [0.4261307036529939, 0.7264672939748517]]","[0.06873997063639048, 0.04190474329898804, 0.18721024611830336, 0.3781795448395944]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.0163108000002
nominal,111,evaluated,2.48294228996,True,"[0.33002674503812846, 0.610391869830198, -0.779307254218889, -0.2659580044369655, 0.24422291246594674]","[0.3456988056312433, 0.5738421605813713, -0.7990802386031676, -0.3633970642781468, 0.23090603468381488]","[[0.19672226823369177, 0.4946753430287948], [0.42486562318381976, 0.7228186979789228], [-0.948056776000719, -0.6501037012056161], [-0.5123736016756983, -0.21442052688059526], [0.08192949728626336, 0.3798825720813664]]","[0.21949875730289056, 0.5430167168833884, -0.5703191270168522, -0.0943837269902478]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0495452
extrapolation,111,evaluated,2.48294228996,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.6843279394068851, -0.5865497092488267, -0.41977298438427846, -0.3474390598411813, 0.9366831222178681]","[[-0.8333044768044366, -0.5353514020093335], [-0.7355262466463781, -0.43757317185127514], [-0.5687495217818299, -0.27079644698672695], [-0.4964155972387328, -0.19846252244362977], [0.7877065848203166, 1.0]]","[-0.2841925854521251, -0.17424187544117203, -0.476930713428974, -0.08727902236529639]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0159803000001
proxy_shift,111,evaluated,2.48294228996,False,"[0.33002674503812846, 0.610391869830198, -0.779307254218889, -0.2659580044369655, 0.24422291246594674]","[0.3770429268174729, 0.5007427420837178, -0.8386262073717246, -0.5582751839605093, 0.20427227911955118]","[[0.2280663894199214, 0.5260194642150244], [0.3517662046861663, 0.6497192794812694], [-0.9876027447692761, -0.689649669974173], [-0.7072517213580609, -0.40929864656295784], [0.055295741721999664, 0.3532488165171027]]","[0.21949875730289056, 0.5430167168833884, -0.5703191270168522, -0.0943837269902478]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0474176
understated_LH,111,evaluated,2.48294228996,True,"[0.33002674503812846, 0.610391869830198, -0.779307254218889, -0.2659580044369655, 0.24422291246594674]","[0.3456988056312433, 0.5738421605813713, -0.7990802386031676, -0.3633970642781468, 0.23090603468381488]","[[0.19672226823369177, 0.4946753430287948], [0.42486562318381976, 0.7228186979789228], [-0.948056776000719, -0.6501037012056161], [-0.5123736016756983, -0.21442052688059526], [0.08192949728626336, 0.3798825720813664]]","[0.21949875730289056, 0.5430167168833884, -0.5703191270168522, -0.0943837269902478]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0296921000001
high_noise,111,evaluated,2.48294228996,True,"[0.33002674503812846, 0.610391869830198, -0.779307254218889, -0.2659580044369655, 0.24422291246594674]","[0.3456988056312433, 0.5738421605813713, -0.7990802386031676, -0.3633970642781468, 0.23090603468381488]","[[0.19672226823369177, 0.4946753430287948], [0.42486562318381976, 0.7228186979789228], [-0.948056776000719, -0.6501037012056161], [-0.5123736016756983, -0.21442052688059526], [0.08192949728626336, 0.3798825720813664]]","[0.1971135863986404, 0.6730329660010441, -1.1401805538748002, -0.006441771720840567]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0535431999999
bounded_nuisance_bias,111,evaluated,2.48294228996,True,"[0.33002674503812846, 0.610391869830198, -0.779307254218889, -0.2659580044369655, 0.24422291246594674]","[0.3456988056312433, 0.5738421605813713, -0.7990802386031676, -0.3633970642781468, 0.23090603468381488]","[[0.19672226823369177, 0.4946753430287948], [0.42486562318381976, 0.7228186979789228], [-0.948056776000719, -0.6501037012056161], [-0.5123736016756983, -0.21442052688059526], [0.08192949728626336, 0.3798825720813664]]","[0.15949875730289056, 0.6030167168833884, -0.6303191270168522, -0.034383726990247804]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.0469303
nominal,112,evaluated,2.63734063343,True,"[0.560261157674599, -0.12919869659951966, 0.18033903164739407, 0.060128822654671454, -0.726163423254657]","[0.5640075297370083, -0.17154571697582643, 0.0981538902627961, -0.07511747082131245, -0.8117865425312009]","[[0.4057670917310364, 0.7222479677429802], [-0.3297861549817983, -0.01330527896985459], [-0.06008654774317575, 0.25639432826876796], [-0.2333579088272843, 0.08312296718465939], [-0.9700269805371727, -0.653546104525229]]","[0.3925370962072389, 0.017639488675193146, 0.12749485783287354, 0.10208971328659613]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0115063000001
extrapolation,112,evaluated,2.63734063343,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.6962536279375907, -0.5923470203763067, -0.48218514138459795, -0.38524629347598394, 0.8643768807234561]","[[-0.8544940659435626, -0.5380131899316188], [-0.7505874583822786, -0.43410658237033484], [-0.6404255793905698, -0.32394470337862613], [-0.5434867314819558, -0.2270058554700121], [0.7061364427174842, 1.0]]","[-0.31078736783718514, -0.14909898432599944, -0.18246521105621882, -0.06632222290035782]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0143141999999
proxy_shift,112,evaluated,2.63734063343,False,"[0.560261157674599, -0.12919869659951966, 0.18033903164739407, 0.060128822654671454, -0.726163423254657]","[0.5715002738618269, -0.25623975772843993, -0.06621639250639982, -0.34561005777328024, -0.9830327810842887]","[[0.413259835855855, 0.7297407118677988], [-0.41448019573441175, -0.09799931972246809], [-0.22445683051237167, 0.09202404549957202], [-0.5038504957792521, -0.1873696197673084], [-1.0, -0.8247923430783168]]","[0.3925370962072389, 0.017639488675193146, 0.12749485783287354, 0.10208971328659613]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0166185
understated_LH,112,evaluated,2.63734063343,True,"[0.560261157674599, -0.12919869659951966, 0.18033903164739407, 0.060128822654671454, -0.726163423254657]","[0.5640075297370083, -0.17154571697582643, 0.0981538902627961, -0.07511747082131245, -0.8117865425312009]","[[0.4057670917310364, 0.7222479677429802], [-0.3297861549817983, -0.01330527896985459], [-0.06008654774317575, 0.25639432826876796], [-0.2333579088272843, 0.08312296718465939], [-0.9700269805371727, -0.653546104525229]]","[0.3925370962072389, 0.017639488675193146, 0.12749485783287354, 0.10208971328659613]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0122131000001
high_noise,112,evaluated,2.63734063343,True,"[0.560261157674599, -0.12919869659951966, 0.18033903164739407, 0.060128822654671454, -0.726163423254657]","[0.5640075297370083, -0.17154571697582643, 0.0981538902627961, -0.07511747082131245, -0.8117865425312009]","[[0.4057670917310364, 0.7222479677429802], [-0.3297861549817983, -0.01330527896985459], [-0.06008654774317575, 0.25639432826876796], [-0.2333579088272843, 0.08312296718465939], [-0.9700269805371727, -0.653546104525229]]","[0.31696236053286875, 0.1979415200231942, 0.14656443572043587, 0.23194526748588057]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00679919999993
bounded_nuisance_bias,112,evaluated,2.63734063343,True,"[0.560261157674599, -0.12919869659951966, 0.18033903164739407, 0.060128822654671454, -0.726163423254657]","[0.5640075297370083, -0.17154571697582643, 0.0981538902627961, -0.07511747082131245, -0.8117865425312009]","[[0.4057670917310364, 0.7222479677429802], [-0.3297861549817983, -0.01330527896985459], [-0.06008654774317575, 0.25639432826876796], [-0.2333579088272843, 0.08312296718465939], [-0.9700269805371727, -0.653546104525229]]","[0.3325370962072389, 0.07763948867519314, 0.06749485783287354, 0.16208971328659613]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.0101359999999
nominal,113,evaluated,2.54843724629,True,"[-0.7390629593285573, 0.30392080753594275, -0.10242768532219393, 0.7521953186383081, -0.6207027441363921]","[-0.7202435814086771, 0.3410586546589989, -0.11195715080854891, 0.8303158717185039, -0.6218102016234068]","[[-0.8731498161860775, -0.5673373466312767], [0.18815241988159853, 0.4939648894363993], [-0.2648633855859493, 0.04094908396885148], [0.6774096369411035, 0.9832221064959042], [-0.7747164364008072, -0.46890396684600644]]","[-0.2550734703316867, 0.2765377886249151, -0.016463480516215906, 0.4283548002189501]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0476478999999
extrapolation,113,evaluated,2.54843724629,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.6811806220801198, -0.5128621528769438, -0.40952946548635494, -0.17187944691980422, 0.9488925425129853]","[[-0.8340868568575202, -0.5282743873027194], [-0.6657683876543442, -0.3599559180995434], [-0.5624357002637553, -0.25662323070895454], [-0.3247856816972046, -0.018973212142403828], [0.7959863077355849, 1.0]]","[-0.24849991208999778, -0.17277505307264035, -0.15015429853903822, -0.3239517301784505]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00951710000004
proxy_shift,113,evaluated,2.54843724629,False,"[-0.7390629593285573, 0.30392080753594275, -0.10242768532219393, 0.7521953186383081, -0.6207027441363921]","[-0.6826048255689166, 0.41533434890511123, -0.1310160817812589, 0.9865569778788954, -0.6240251165974362]","[[-0.835511060346317, -0.5296985907915162], [0.26242811412771083, 0.5682405836825116], [-0.2839223165586593, 0.0218901529961415], [0.833650743101495, 1.0], [-0.7769313513748366, -0.4711188818200358]]","[-0.2550734703316867, 0.2765377886249151, -0.016463480516215906, 0.4283548002189501]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0664910999999
understated_LH,113,evaluated,2.54843724629,True,"[-0.7390629593285573, 0.30392080753594275, -0.10242768532219393, 0.7521953186383081, -0.6207027441363921]","[-0.7202435814086771, 0.3410586546589989, -0.11195715080854891, 0.8303158717185039, -0.6218102016234068]","[[-0.8731498161860775, -0.5673373466312767], [0.18815241988159853, 0.4939648894363993], [-0.2648633855859493, 0.04094908396885148], [0.6774096369411035, 0.9832221064959042], [-0.7747164364008072, -0.46890396684600644]]","[-0.2550734703316867, 0.2765377886249151, -0.016463480516215906, 0.4283548002189501]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0561809000001
high_noise,113,evaluated,2.54843724629,True,"[-0.7390629593285573, 0.30392080753594275, -0.10242768532219393, 0.7521953186383081, -0.6207027441363921]","[-0.7202435814086771, 0.3410586546589989, -0.11195715080854891, 0.8303158717185039, -0.6218102016234068]","[[-0.8731498161860775, -0.5673373466312767], [0.18815241988159853, 0.4939648894363993], [-0.2648633855859493, 0.04094908396885148], [0.6774096369411035, 0.9832221064959042], [-0.7747164364008072, -0.46890396684600644]]","[-0.20607329451168224, 0.4094876824796343, 0.06722792240570759, 0.04295133986204902]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0513244000001
bounded_nuisance_bias,113,evaluated,2.54843724629,True,"[-0.7390629593285573, 0.30392080753594275, -0.10242768532219393, 0.7521953186383081, -0.6207027441363921]","[-0.7202435814086771, 0.3410586546589989, -0.11195715080854891, 0.8303158717185039, -0.6218102016234068]","[[-0.8731498161860775, -0.5673373466312767], [0.18815241988159853, 0.4939648894363993], [-0.2648633855859493, 0.04094908396885148], [0.6774096369411035, 0.9832221064959042], [-0.7747164364008072, -0.46890396684600644]]","[-0.3150734703316867, 0.3365377886249151, -0.0764634805162159, 0.4883548002189501]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.0477484
nominal,114,evaluated,2.62211932268,True,"[0.6866051259659665, 0.7954492488024747, -0.2409309727009733, 0.45054105860557714, 0.4315392243959242]","[0.5935781307351767, 0.6558835237121747, -0.1695654766511197, 0.4609858743661988, 0.5006672398047012]","[[0.4362509713744971, 0.7509052900958564], [0.4985563643514951, 0.8132106830728544], [-0.3268926360117994, -0.012238317290440032], [0.3036587150055191, 0.6183130337268785], [0.34334008044402153, 0.6579943991653808]]","[0.5285530698814869, 0.7784345224140018, -0.1587645484320407, 0.3755804124384999]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0464930000001
extrapolation,114,evaluated,2.62211932268,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.7930269952307897, -0.6895657250903, -0.3286345039501464, -0.23955518423937835, 1.0]","[[-0.9503541545914693, -0.63569983587011], [-0.8468928844509797, -0.5322385657296204], [-0.485961663310826, -0.1713073445894667], [-0.39688234360005803, -0.08222802487869868], [0.8426728406393204, 1.0]]","[-0.2978379853989152, -0.12790687909360926, -0.22362028489344785, -0.08689039637167656]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0137784999999
proxy_shift,114,evaluated,2.62211932268,False,"[0.6866051259659665, 0.7954492488024747, -0.2409309727009733, 0.45054105860557714, 0.4315392243959242]","[0.4075241402735972, 0.37675207353157464, -0.02683448455141252, 0.4818755058874421, 0.6389232706222552]","[[0.25019698091291753, 0.5648512996342768], [0.21942491417089496, 0.5340792328922543], [-0.1841616439120922, 0.13049267480926716], [0.32454834652676245, 0.6392026652481217], [0.48159611126157553, 0.7962504299829348]]","[0.5285530698814869, 0.7784345224140018, -0.1587645484320407, 0.3755804124384999]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00952949999987
understated_LH,114,evaluated,2.62211932268,True,"[0.6866051259659665, 0.7954492488024747, -0.2409309727009733, 0.45054105860557714, 0.4315392243959242]","[0.5935781307351767, 0.6558835237121747, -0.1695654766511197, 0.4609858743661988, 0.5006672398047012]","[[0.4362509713744971, 0.7509052900958564], [0.4985563643514951, 0.8132106830728544], [-0.3268926360117994, -0.012238317290440032], [0.3036587150055191, 0.6183130337268785], [0.34334008044402153, 0.6579943991653808]]","[0.5285530698814869, 0.7784345224140018, -0.1587645484320407, 0.3755804124384999]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0120449999999
high_noise,114,evaluated,2.62211932268,True,"[0.6866051259659665, 0.7954492488024747, -0.2409309727009733, 0.45054105860557714, 0.4315392243959242]","[0.5935781307351767, 0.6558835237121747, -0.1695654766511197, 0.4609858743661988, 0.5006672398047012]","[[0.4362509713744971, 0.7509052900958564], [0.4985563643514951, 0.8132106830728544], [-0.3268926360117994, -0.012238317290440032], [0.3036587150055191, 0.6183130337268785], [0.34334008044402153, 0.6579943991653808]]","[0.4788770990836565, 1.0011207642267832, -0.22200511821893643, 0.46429961969514677]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0606897
