scenario,replicate,status,q,joint_set_covered,mechanisms,proxies,boxes,effects,noise_sd,beta,L,H,optimization_seconds
proxy_shift,3,evaluated,2.62463307649,False,"[0.559017265642372, 0.48321392239252847, -0.5034661503823787, 0.13210855591404758, 0.25637855724108727]","[0.5240148186685668, 0.34792921006071564, -0.5049022943532865, 0.4102381719447792, 0.5937555531179575]","[[0.36653683407932025, 0.6814928032578134], [0.19045122547146912, 0.5054071946499622], [-0.662380278942533, -0.34742430976403993], [0.25276018735553263, 0.5677161565340257], [0.4362775685287109, 0.751233537707204]]","[0.49761109227328104, 0.3873903210894161, -0.35071418597666726, 0.08311645047667152]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00727340000003
understated_LH,3,evaluated,2.62463307649,True,"[0.559017265642372, 0.48321392239252847, -0.5034661503823787, 0.13210855591404758, 0.25637855724108727]","[0.5473497833177703, 0.43811901828192423, -0.503944865039348, 0.22481842792429144, 0.36883755586671063]","[[0.38987179872852373, 0.7048277679070168], [0.2806410336926777, 0.5955970028711708], [-0.6614228496285945, -0.34646688045010143], [0.06734044333504491, 0.38229641251353796], [0.2113595712774641, 0.5263155404559572]]","[0.49761109227328104, 0.3873903210894161, -0.35071418597666726, 0.08311645047667152]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.015005
high_noise,3,evaluated,2.62463307649,True,"[0.559017265642372, 0.48321392239252847, -0.5034661503823787, 0.13210855591404758, 0.25637855724108727]","[0.5473497833177703, 0.43811901828192423, -0.503944865039348, 0.22481842792429144, 0.36883755586671063]","[[0.38987179872852373, 0.7048277679070168], [0.2806410336926777, 0.5955970028711708], [-0.6614228496285945, -0.34646688045010143], [0.06734044333504491, 0.38229641251353796], [0.2113595712774641, 0.5263155404559572]]","[0.6345123760772322, 0.44221683952083063, -0.6000700762196586, 0.08034748200574048]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0519695
bounded_nuisance_bias,3,evaluated,2.62463307649,True,"[0.559017265642372, 0.48321392239252847, -0.5034661503823787, 0.13210855591404758, 0.25637855724108727]","[0.5473497833177703, 0.43811901828192423, -0.503944865039348, 0.22481842792429144, 0.36883755586671063]","[[0.38987179872852373, 0.7048277679070168], [0.2806410336926777, 0.5955970028711708], [-0.6614228496285945, -0.34646688045010143], [0.06734044333504491, 0.38229641251353796], [0.2113595712774641, 0.5263155404559572]]","[0.43761109227328104, 0.4473903210894161, -0.41071418597666726, 0.14311645047667151]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.0653990999999
nominal,4,evaluated,2.60438915924,True,"[-0.30842803208318803, -0.40748834877759177, 0.4228021231773209, -0.6610168126508162, -0.6066746883325891]","[-0.2934485997038549, -0.39370275435309665, 0.3836084302485071, -0.5907324147041598, -0.5786379577245893]","[[-0.44971194925834823, -0.13718525014936156], [-0.54996610390759, -0.23743940479860332], [0.22734508069401377, 0.5398717798030004], [-0.7469957642586531, -0.4344690651496665], [-0.7349013072790826, -0.4223746081700959]]","[-0.174016234230517, -0.14137616342363019, 0.35061840445662157, -0.33172946568764944]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0643110999999
extrapolation,4,evaluated,2.60438915924,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.6850205676206669, -0.5362144055755048, -0.4391936929288138, -0.17971560205334358, 0.9780367306079998]","[[-0.8412839171751603, -0.5287572180661735], [-0.6924777551299981, -0.3799510560210115], [-0.5954570424833071, -0.28293034337432044], [-0.3359789516078369, -0.023452252498850246], [0.8217733810535064, 1.0]]","[-0.2904977702730166, -0.18594718047392159, -0.14869136005874609, -0.1974523460792731]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00837609999985
proxy_shift,4,evaluated,2.60438915924,False,"[-0.30842803208318803, -0.40748834877759177, 0.4228021231773209, -0.6610168126508162, -0.6066746883325891]","[-0.2634897349451887, -0.3661315655041064, 0.3052210443908795, -0.45016361881084704, -0.5225644965085896]","[[-0.419753084499682, -0.10722638539069534], [-0.5223949150585998, -0.20986821594961308], [0.14895769483638616, 0.46148439394537283], [-0.6064269683653404, -0.2939002692563537], [-0.678827846063083, -0.36630114695409627]]","[-0.174016234230517, -0.14137616342363019, 0.35061840445662157, -0.33172946568764944]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0171873999998
understated_LH,4,evaluated,2.60438915924,True,"[-0.30842803208318803, -0.40748834877759177, 0.4228021231773209, -0.6610168126508162, -0.6066746883325891]","[-0.2934485997038549, -0.39370275435309665, 0.3836084302485071, -0.5907324147041598, -0.5786379577245893]","[[-0.44971194925834823, -0.13718525014936156], [-0.54996610390759, -0.23743940479860332], [0.22734508069401377, 0.5398717798030004], [-0.7469957642586531, -0.4344690651496665], [-0.7349013072790826, -0.4223746081700959]]","[-0.174016234230517, -0.14137616342363019, 0.35061840445662157, -0.33172946568764944]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0133698
high_noise,4,evaluated,2.60438915924,True,"[-0.30842803208318803, -0.40748834877759177, 0.4228021231773209, -0.6610168126508162, -0.6066746883325891]","[-0.2934485997038549, -0.39370275435309665, 0.3836084302485071, -0.5907324147041598, -0.5786379577245893]","[[-0.44971194925834823, -0.13718525014936156], [-0.54996610390759, -0.23743940479860332], [0.22734508069401377, 0.5398717798030004], [-0.7469957642586531, -0.4344690651496665], [-0.7349013072790826, -0.4223746081700959]]","[-0.20901177477655014, -0.034770524371473405, 0.4372356843391293, -0.4641341578461956]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0146240000001
bounded_nuisance_bias,4,evaluated,2.60438915924,True,"[-0.30842803208318803, -0.40748834877759177, 0.4228021231773209, -0.6610168126508162, -0.6066746883325891]","[-0.2934485997038549, -0.39370275435309665, 0.3836084302485071, -0.5907324147041598, -0.5786379577245893]","[[-0.44971194925834823, -0.13718525014936156], [-0.54996610390759, -0.23743940479860332], [0.22734508069401377, 0.5398717798030004], [-0.7469957642586531, -0.4344690651496665], [-0.7349013072790826, -0.4223746081700959]]","[-0.23401623423051698, -0.08137616342363019, 0.29061840445662157, -0.27172946568764944]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.0650820999999
nominal,5,evaluated,2.63249102215,True,"[0.660181964086906, 0.6705238561616393, 0.20564971887041894, -0.7768957611377731, 0.7433067686178123]","[0.7685257549212838, 0.6108964965550224, 0.15415537751482017, -0.8944852448696701, 0.8309909801487887]","[[0.6105762935924277, 0.92647521625014], [0.45294703522616636, 0.7688459578838784], [-0.003794083814035898, 0.31210483884367624], [-1.0, -0.736535783540814], [0.6730415188199326, 0.9889404414776448]]","[0.5767966246705435, 0.5287827869328622, 0.08163572780785935, -0.4008117654952533]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00718260000008
extrapolation,5,evaluated,2.63249102215,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.5916562091656221, -0.6096273596066168, -0.45149434135559874, -0.367589483731897, 1.0]","[[-0.7496056704944782, -0.43370674783676605], [-0.767576820935473, -0.4516778982777608], [-0.6094438026844549, -0.29354488002674267], [-0.525538945060753, -0.20964002240304092], [0.8420505386711439, 1.0]]","[-0.22306462149329365, -0.24766219926868382, -0.24644164557583667, -0.24699441591474142]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0156935
proxy_shift,5,evaluated,2.63249102215,False,"[0.660181964086906, 0.6705238561616393, 0.20564971887041894, -0.7768957611377731, 0.7433067686178123]","[0.9852133365900395, 0.4916417773417886, 0.05116669480362268, -1.0, 1.0]","[[0.8272638752611834, 1.0], [0.33369231601293253, 0.6495912386706446], [-0.10678276652523339, 0.20911615613247875], [-1.0, -0.8420505386711439], [0.8420505386711439, 1.0]]","[0.5767966246705435, 0.5287827869328622, 0.08163572780785935, -0.4008117654952533]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00602389999995
understated_LH,5,evaluated,2.63249102215,True,"[0.660181964086906, 0.6705238561616393, 0.20564971887041894, -0.7768957611377731, 0.7433067686178123]","[0.7685257549212838, 0.6108964965550224, 0.15415537751482017, -0.8944852448696701, 0.8309909801487887]","[[0.6105762935924277, 0.92647521625014], [0.45294703522616636, 0.7688459578838784], [-0.003794083814035898, 0.31210483884367624], [-1.0, -0.736535783540814], [0.6730415188199326, 0.9889404414776448]]","[0.5767966246705435, 0.5287827869328622, 0.08163572780785935, -0.4008117654952533]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.0092775999999
high_noise,5,evaluated,2.63249102215,True,"[0.660181964086906, 0.6705238561616393, 0.20564971887041894, -0.7768957611377731, 0.7433067686178123]","[0.7685257549212838, 0.6108964965550224, 0.15415537751482017, -0.8944852448696701, 0.8309909801487887]","[[0.6105762935924277, 0.92647521625014], [0.45294703522616636, 0.7688459578838784], [-0.003794083814035898, 0.31210483884367624], [-1.0, -0.736535783540814], [0.6730415188199326, 0.9889404414776448]]","[0.6766673816839562, 0.5119583883954945, -0.027247563343814007, -0.6323005973247362]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00717169999984
bounded_nuisance_bias,5,evaluated,2.63249102215,True,"[0.660181964086906, 0.6705238561616393, 0.20564971887041894, -0.7768957611377731, 0.7433067686178123]","[0.7685257549212838, 0.6108964965550224, 0.15415537751482017, -0.8944852448696701, 0.8309909801487887]","[[0.6105762935924277, 0.92647521625014], [0.45294703522616636, 0.7688459578838784], [-0.003794083814035898, 0.31210483884367624], [-1.0, -0.736535783540814], [0.6730415188199326, 0.9889404414776448]]","[0.5167966246705435, 0.5887827869328621, 0.021635727807859356, -0.3408117654952533]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.0069919
nominal,6,evaluated,2.68955143783,True,"[-0.5323202610565843, 0.02876264374460169, 0.3243722127940627, -0.6201774978680009, -0.6678449226917604]","[-0.6129627851897207, -0.1081358334210781, 0.36078946316499355, -0.5588089485964579, -0.7215929099970171]","[[-0.7743358714594778, -0.4515896989199636], [-0.26950891969083524, 0.053237252848679], [0.19941637689523645, 0.5221625494347506], [-0.720182034866215, -0.3974358623267008], [-0.8829659962667742, -0.56021982372726]]","[-0.21951758568769103, -0.06610323633928122, 0.22337713357316807, -0.16538725727391113]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0065376
extrapolation,6,evaluated,2.68955143783,True,"[-0.7, -0.5499999999999999, -0.39999999999999997, -0.25, 0.95]","[-0.7806425241331364, -0.6868984771656798, -0.3635827496290691, -0.18863145072845702, 0.8962520126947433]","[[-0.9420156104028935, -0.6192694378633793], [-0.8482715634354369, -0.5255253908959227], [-0.5249558358988262, -0.202209663359312], [-0.3500045369982141, -0.02725836445869992], [0.7348789264249862, 1.0]]","[-0.25813488715314553, -0.32285900948859586, -0.19481139383314452, -0.039916797211654906]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.0113453000001
proxy_shift,6,evaluated,2.68955143783,False,"[-0.5323202610565843, 0.02876264374460169, 0.3243722127940627, -0.6201774978680009, -0.6678449226917604]","[-0.7742478334559935, -0.38193278775243766, 0.4336239639068553, -0.436071850053372, -0.8290888846075303]","[[-0.9356209197257506, -0.6128747471862364], [-0.5433058740221948, -0.22055970148268056], [0.2722508776370982, 0.5949970501766124], [-0.5974449363231291, -0.2746987637836149], [-0.9904619708772874, -0.6677157983377732]]","[-0.21951758568769103, -0.06610323633928122, 0.22337713357316807, -0.16538725727391113]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00649659999999
understated_LH,6,evaluated,2.68955143783,True,"[-0.5323202610565843, 0.02876264374460169, 0.3243722127940627, -0.6201774978680009, -0.6678449226917604]","[-0.6129627851897207, -0.1081358334210781, 0.36078946316499355, -0.5588089485964579, -0.7215929099970171]","[[-0.7743358714594778, -0.4515896989199636], [-0.26950891969083524, 0.053237252848679], [0.19941637689523645, 0.5221625494347506], [-0.720182034866215, -0.3974358623267008], [-0.8829659962667742, -0.56021982372726]]","[-0.21951758568769103, -0.06610323633928122, 0.22337713357316807, -0.16538725727391113]","[0.04, 0.06, 0.08, 0.1]","[0.0, 0.0, 0.0, 0.0]",0.12,0.06,0.00839629999996
high_noise,6,evaluated,2.68955143783,True,"[-0.5323202610565843, 0.02876264374460169, 0.3243722127940627, -0.6201774978680009, -0.6678449226917604]","[-0.6129627851897207, -0.1081358334210781, 0.36078946316499355, -0.5588089485964579, -0.7215929099970171]","[[-0.7743358714594778, -0.4515896989199636], [-0.26950891969083524, 0.053237252848679], [0.19941637689523645, 0.5221625494347506], [-0.720182034866215, -0.3974358623267008], [-0.8829659962667742, -0.56021982372726]]","[-0.18978735999398202, -0.23332125531647302, 0.217754345906879, 0.0172791483027791]","[0.12, 0.18, 0.24, 0.30000000000000004]","[0.0, 0.0, 0.0, 0.0]",1.2,0.6,0.00658740000017
bounded_nuisance_bias,6,evaluated,2.68955143783,True,"[-0.5323202610565843, 0.02876264374460169, 0.3243722127940627, -0.6201774978680009, -0.6678449226917604]","[-0.6129627851897207, -0.1081358334210781, 0.36078946316499355, -0.5588089485964579, -0.7215929099970171]","[[-0.7743358714594778, -0.4515896989199636], [-0.26950891969083524, 0.053237252848679], [0.19941637689523645, 0.5221625494347506], [-0.720182034866215, -0.3974358623267008], [-0.8829659962667742, -0.56021982372726]]","[-0.27951758568769103, -0.006103236339281226, 0.16337713357316808, -0.10538725727391113]","[0.04, 0.06, 0.08, 0.1]","[0.06, 0.06, 0.06, 0.06]",1.2,0.6,0.00693219999994
