replicate,mode,target,truth,status,lower,upper,width,covered,best_singleton_width,closed_form_error
81,exact_sources,-0.412048396777,-0.19629387368,optimal,-0.462061724949,-0.0367206833915,0.425341041558,True,0.425341041558,0
81,noisy_sources,-0.412048396777,-0.19629387368,optimal,-0.659861170706,0.131598056689,0.791459227395,True,0.81597071293,
82,exact_sources,0.824607132459,0.698757356347,optimal,0.598390739388,0.703967239131,0.105576499743,True,0.105576499743,0
82,noisy_sources,0.824607132459,0.698757356347,optimal,0.439865663545,0.93607183466,0.496206171116,True,0.496206171116,
83,exact_sources,-0.293151711182,-0.150109648978,optimal,-0.153226119303,-0.143571179688,0.00965493961421,True,0.00965493961421,0
83,noisy_sources,-0.293151711182,-0.150109648978,optimal,-0.325242623279,0.0750419877076,0.400284610987,True,0.400284610987,
84,exact_sources,0.773021162745,0.643081213062,optimal,0.639919187408,0.698828084994,0.0589088975858,True,0.0589088975858,0
84,noisy_sources,0.773021162745,0.643081213062,optimal,0.4654672539,0.915005822859,0.449538568958,True,0.449538568958,
85,exact_sources,-0.291763426993,-0.149520286997,optimal,-0.232426189001,-0.108800492915,0.123625696087,True,0.123625696087,0
85,noisy_sources,-0.291763426993,-0.149520286997,optimal,-0.308191313428,0.0986458301041,0.406837143532,True,0.514255367459,
86,exact_sources,0.0432189902702,0.0264917584981,optimal,0.0132550835524,0.0692768273205,0.0560217437682,True,0.0560217437682,0
86,noisy_sources,0.0432189902702,0.0264917584981,optimal,-0.137933542272,0.308717872869,0.446651415141,True,0.446651415141,
87,exact_sources,0.258718370075,0.175311580549,optimal,0.14415736342,0.321062831391,0.17690546797,True,0.17690546797,0
87,noisy_sources,0.258718370075,0.175311580549,optimal,-0.0401012920061,0.501458210189,0.541559502195,True,0.567535139343,
88,exact_sources,-0.157898287161,-0.0872594115702,optimal,-0.217663874545,-0.0315935445798,0.186070329966,True,0.186070329966,0
88,noisy_sources,-0.157898287161,-0.0872594115702,optimal,-0.507349863289,0.069350138049,0.576700001338,True,0.576700001338,
89,exact_sources,0.154324929539,0.0997398128863,optimal,-0.0674765205592,0.147626484691,0.21510300525,True,0.21510300525,0
89,noisy_sources,0.154324929539,0.0997398128863,optimal,-0.280424705428,0.325307971195,0.605732676623,True,0.605732676623,
90,exact_sources,-0.0917422893734,-0.0525203793262,optimal,-0.185065432721,0.356538173188,0.541603605908,True,0.541603605908,0
90,noisy_sources,-0.0917422893734,-0.0525203793262,optimal,-0.37401373614,0.558219541141,0.932233277281,True,0.932233277281,
91,exact_sources,0.642691174256,0.509530288194,optimal,0.471231306195,0.523928092715,0.0526967865195,True,0.148348834697,0
91,noisy_sources,0.642691174256,0.509530288194,optimal,0.20263394296,0.732310434901,0.529676491941,True,0.53897850607,
92,exact_sources,-0.495666989941,-0.223694464489,optimal,-0.656367382044,0.207841869135,0.864209251179,True,1.01156552581,0
92,noisy_sources,-0.495666989941,-0.223694464489,optimal,-0.782686379806,0.407021955003,1.18970833481,True,1.40219519719,
93,exact_sources,0.423339389356,0.307768505188,optimal,0.282910646126,0.467669329592,0.184758683466,True,0.184758683466,0
93,noisy_sources,0.423339389356,0.307768505188,optimal,0.10666193359,0.682050288428,0.575388354838,True,0.575388354838,
94,exact_sources,-0.336989630379,-0.168125174933,optimal,-0.25367284507,0.0133812649925,0.267054110062,True,0.267054110062,0
94,noisy_sources,-0.336989630379,-0.168125174933,optimal,-0.386676782205,0.27100699923,0.657683781435,True,0.657683781435,
95,exact_sources,0.758946658907,0.628168004664,optimal,0.618273076123,0.698853700635,0.0805806245118,True,0.198117660788,0
95,noisy_sources,0.758946658907,0.628168004664,optimal,0.457652112145,0.916595309109,0.458943196964,True,0.588747332161,
96,exact_sources,0.0192112184271,0.0116374523303,optimal,-0.164636807238,0.207241166355,0.371877973593,True,0.695107403311,0
96,noisy_sources,0.0192112184271,0.0116374523303,optimal,-0.299947527474,0.432596180554,0.732543708028,True,1.08573707468,
97,exact_sources,0.886162510547,0.767282704858,optimal,0.558259166651,0.775946039474,0.217686872823,True,0.217686872823,0
97,noisy_sources,0.886162510547,0.767282704858,optimal,0.324722495895,0.93303904009,0.608316544195,True,0.608316544195,
98,exact_sources,0.799347604913,0.671295540992,optimal,0.382367120732,0.691804974792,0.309437854059,True,0.309437854059,0
98,noisy_sources,0.799347604913,0.671295540992,optimal,0.16842286364,0.868490389072,0.700067525432,True,0.700067525432,
99,exact_sources,-0.71587573924,-0.275782021334,optimal,-0.430161210757,-0.0929945615095,0.337166649247,True,0.377155131205,0
99,noisy_sources,-0.71587573924,-0.275782021334,optimal,-0.575366881061,0.0830578367042,0.658424717766,True,0.767784802577,
100,exact_sources,-0.692010791988,-0.271542794324,optimal,-0.436266986062,-0.0261399930369,0.410126993025,True,0.410126993025,0
100,noisy_sources,-0.692010791988,-0.271542794324,optimal,-0.588685081392,0.212071583005,0.800756664397,True,0.800756664397,
101,exact_sources,-0.0686546207825,-0.039778735383,optimal,-0.139641000246,-0.00202691935639,0.13761408089,True,0.13761408089,0
101,noisy_sources,-0.0686546207825,-0.039778735383,optimal,-0.403492213876,0.124751538387,0.528243752262,True,0.528243752262,
102,exact_sources,-0.709943429313,-0.27476015574,optimal,-0.428254468121,-0.153269682758,0.274984785364,True,0.274984785364,0
102,noisy_sources,-0.709943429313,-0.27476015574,optimal,-0.663627932005,0.00198652473127,0.665614456736,True,0.665614456736,
103,exact_sources,-0.548816414632,-0.238930011688,optimal,-0.347401481521,-0.0558255035628,0.291575977959,True,0.291575977959,0
103,noisy_sources,-0.548816414632,-0.238930011688,optimal,-0.427043720298,0.255161929033,0.682205649331,True,0.682205649331,
104,exact_sources,0.428507334889,0.312189961749,optimal,0.215511421782,0.872404425751,0.65689300397,True,1.21343593764,0
104,noisy_sources,0.428507334889,0.312189961749,optimal,0.115837832938,1.13957942572,1.02374159278,True,1.60406560901,
105,exact_sources,0.985440171079,0.882591801881,optimal,0.882588822698,0.882945949209,0.000357126511431,True,0.00082828296698,0
105,noisy_sources,0.985440171079,0.882591801881,optimal,0.680950613686,0.927443618922,0.246493005236,True,0.391457954339,
106,exact_sources,0.501657339569,0.376492429644,optimal,0.322704545781,0.664129723178,0.341425177398,True,0.565354346106,0
106,noisy_sources,0.501657339569,0.376492429644,optimal,0.193861103791,0.820462412941,0.626601309149,True,0.955984017479,
107,exact_sources,0.293287828668,0.201778022334,optimal,0.164894750774,0.388377857912,0.223483107138,True,0.223483107138,0
