source,method,estimate,radius,width,target_reference,error,included,released_at_015,source_ids,n_cheap,n_expensive
rotterdam,random,0.171731381937,0.230165574607,0.460331149214,0.283875338753,0.112143956816,True,False,armstrong|aus2|badaniaon|bogota|brookcuny|carleton|cas|csunorthonline|fmkbelgrade|georgefox|grazvienna|hawaiion|help|jmu|jos|kenyon|krakowon|kwazulu|louvain|loyola|lse|mcdanielonline|metu|moralsense|mturk|munich|munichon|northumbria|osnabruck|ouhk|padua|pascal|psualtoona|puc|queensland2|radboud|ritonline|salford|seznam|seznamon|simmons|swps|tamu|tamucc|tanzania|tanzaniaon|tilburg|tilburgcaf|ulatina|umich|uned|unswonline|vcu|vuw|westernkentucky|yale,36,41
salford,fixed,0.173322155599,0.19437496553,0.38874993106,0.135849056604,0.0374730989957,True,False,armstrong|aus2|badaniaon|bogota|brookcuny|carleton|cas|csunorthonline|fmkbelgrade|georgefox|grazvienna|hawaiion|help|jmu|jos|kenyon|krakowon|kwazulu|louvain|loyola|lse|mcdanielonline|metu|moralsense|mturk|munich|munichon|northumbria|osnabruck|ouhk|padua|pascal|psualtoona|puc|queensland2|radboud|ritonline|rotterdam|seznam|seznamon|simmons|swps|tamu|tamucc|tanzania|tanzaniaon|tilburg|tilburgcaf|ulatina|umich|uned|unswonline|vcu|vuw|westernkentucky|yale,50,53
salford,random,0.173552436025,0.200185749949,0.400371499898,0.135849056604,0.037703379421,True,False,armstrong|aus2|badaniaon|bogota|brookcuny|carleton|cas|csunorthonline|fmkbelgrade|georgefox|grazvienna|hawaiion|help|jmu|jos|kenyon|krakowon|kwazulu|louvain|loyola|lse|mcdanielonline|metu|moralsense|mturk|munich|munichon|northumbria|osnabruck|ouhk|padua|pascal|psualtoona|puc|queensland2|radboud|ritonline|rotterdam|seznam|seznamon|simmons|swps|tamu|tamucc|tanzania|tanzaniaon|tilburg|tilburgcaf|ulatina|umich|uned|unswonline|vcu|vuw|westernkentucky|yale,50,53
seznam,fixed,0.172291964485,0.213664720329,0.427329440659,0.223698781838,0.0514068173535,True,False,armstrong|aus2|badaniaon|bogota|brookcuny|carleton|cas|csunorthonline|fmkbelgrade|georgefox|grazvienna|hawaiion|help|jmu|jos|kenyon|krakowon|kwazulu|louvain|loyola|lse|mcdanielonline|metu|moralsense|mturk|munich|munichon|northumbria|osnabruck|ouhk|padua|pascal|psualtoona|puc|queensland2|radboud|ritonline|rotterdam|salford|seznamon|simmons|swps|tamu|tamucc|tanzania|tanzaniaon|tilburg|tilburgcaf|ulatina|umich|uned|unswonline|vcu|vuw|westernkentucky|yale,42,43
seznam,random,0.172482632384,0.219712334404,0.439424668808,0.223698781838,0.0512161494542,True,False,armstrong|aus2|badaniaon|bogota|brookcuny|carleton|cas|csunorthonline|fmkbelgrade|georgefox|grazvienna|hawaiion|help|jmu|jos|kenyon|krakowon|kwazulu|louvain|loyola|lse|mcdanielonline|metu|moralsense|mturk|munich|munichon|northumbria|osnabruck|ouhk|padua|pascal|psualtoona|puc|queensland2|radboud|ritonline|rotterdam|salford|seznamon|simmons|swps|tamu|tamucc|tanzania|tanzaniaon|tilburg|tilburgcaf|ulatina|umich|uned|unswonline|vcu|vuw|westernkentucky|yale,42,43
seznamon,fixed,0.172730027661,0.186953097521,0.373906195043,0.17899543379,0.00626540612888,True,False,armstrong|aus2|badaniaon|bogota|brookcuny|carleton|cas|csunorthonline|fmkbelgrade|georgefox|grazvienna|hawaiion|help|jmu|jos|kenyon|krakowon|kwazulu|louvain|loyola|lse|mcdanielonline|metu|moralsense|mturk|munich|munichon|northumbria|osnabruck|ouhk|padua|pascal|psualtoona|puc|queensland2|radboud|ritonline|rotterdam|salford|seznam|simmons|swps|tamu|tamucc|tanzania|tanzaniaon|tilburg|tilburgcaf|ulatina|umich|uned|unswonline|vcu|vuw|westernkentucky|yale,45,73
seznamon,random,0.17297358404,0.1928541515,0.385708303,0.17899543379,0.00602184975011,True,False,armstrong|aus2|badaniaon|bogota|brookcuny|carleton|cas|csunorthonline|fmkbelgrade|georgefox|grazvienna|hawaiion|help|jmu|jos|kenyon|krakowon|kwazulu|louvain|loyola|lse|mcdanielonline|metu|moralsense|mturk|munich|munichon|northumbria|osnabruck|ouhk|padua|pascal|psualtoona|puc|queensland2|radboud|ritonline|rotterdam|salford|seznam|simmons|swps|tamu|tamucc|tanzania|tanzaniaon|tilburg|tilburgcaf|ulatina|umich|uned|unswonline|vcu|vuw|westernkentucky|yale,45,73
simmons,fixed,0.173268871179,0.20274427373,0.405488547459,0.142857142857,0.0304117283219,True,False,armstrong|aus2|badaniaon|bogota|brookcuny|carleton|cas|csunorthonline|fmkbelgrade|georgefox|grazvienna|hawaiion|help|jmu|jos|kenyon|krakowon|kwazulu|louvain|loyola|lse|mcdanielonline|metu|moralsense|mturk|munich|munichon|northumbria|osnabruck|ouhk|padua|pascal|psualtoona|puc|queensland2|radboud|ritonline|rotterdam|salford|seznam|seznamon|swps|tamu|tamucc|tanzania|tanzaniaon|tilburg|tilburgcaf|ulatina|umich|uned|unswonline|vcu|vuw|westernkentucky|yale,42,54
simmons,random,0.173506116392,0.208747245689,0.417494491378,0.142857142857,0.0306489735353,True,False,armstrong|aus2|badaniaon|bogota|brookcuny|carleton|cas|csunorthonline|fmkbelgrade|georgefox|grazvienna|hawaiion|help|jmu|jos|kenyon|krakowon|kwazulu|louvain|loyola|lse|mcdanielonline|metu|moralsense|mturk|munich|munichon|northumbria|osnabruck|ouhk|padua|pascal|psualtoona|puc|queensland2|radboud|ritonline|rotterdam|salford|seznam|seznamon|swps|tamu|tamucc|tanzania|tanzaniaon|tilburg|tilburgcaf|ulatina|umich|uned|unswonline|vcu|vuw|westernkentucky|yale,42,54
swps,fixed,0.171281100754,0.210441853786,0.420883707572,0.294871794872,0.123590694118,True,False,armstrong|aus2|badaniaon|bogota|brookcuny|carleton|cas|csunorthonline|fmkbelgrade|georgefox|grazvienna|hawaiion|help|jmu|jos|kenyon|krakowon|kwazulu|louvain|loyola|lse|mcdanielonline|metu|moralsense|mturk|munich|munichon|northumbria|osnabruck|ouhk|padua|pascal|psualtoona|puc|queensland2|radboud|ritonline|rotterdam|salford|seznam|seznamon|simmons|tamu|tamucc|tanzania|tanzaniaon|tilburg|tilburgcaf|ulatina|umich|uned|unswonline|vcu|vuw|westernkentucky|yale,39,50
