ambiguity,sigma,n,risk,risk_mcse,analytic_risk,risk_over_rate,minimax_lower,upper
0.014251026703,0.0170125427985,40000,0.0181402466067,6.42172484005e-05,0.0180764184813,1.06628661109,0.014251026703,0.027825071942
0.014251026703,0.020309176209,40000,0.0201020894536,7.29996766924e-05,0.0200378244771,0.989803291216,0.014251026703,0.0304554048429
0.014251026703,0.0242446201708,40000,0.0226496311418,8.36322927789e-05,0.022593262622,0.934212661706,0.014251026703,0.0335954348199
0.014251026703,0.0289426612472,40000,0.0258780125238,9.65855976528e-05,0.0258370793989,0.894113098404,0.014251026703,0.0373439292607
0.014251026703,0.0345510729459,40000,0.0299008948342,0.000112357929646,0.0298800687153,0.865411470175,0.014251026703,0.0418187943658
0.014251026703,0.041246263829,40000,0.0348499806734,0.000131530202878,0.0348547913085,0.844924544388,0.014251026703,0.047160783803
0.014251026703,0.0492388263171,40000,0.0408908960109,0.000154718948115,0.040920996101,0.830460412432,0.014251026703,0.0535379260135
0.014251026703,0.0587801607227,40000,0.0482139838213,0.000182702824324,0.0482714587611,0.820242463247,0.014251026703,0.0611508094252
0.014251026703,0.070170382867,40000,0.0570478626054,0.000216405778883,0.0571385578194,0.81299061334,0.014251026703,0.0702388918183
0.014251026703,0.0837677640068,40000,0.0676710170265,0.000256903830352,0.0678018999066,0.807840794472,0.014251026703,0.0810880322971
0.014251026703,0.1,40000,0.0804226982622,0.000305449434509,0.0805973065272,0.804226982622,0.014251026703,0.0940394827833
0.014251026703,0.119377664171,40000,0.0957049556561,0.000363570723026,0.0959274925392,0.801699013968,0.0149222080214,0.10950062185
0.014251026703,0.14251026703,40000,0.113996228322,0.000433115161446,0.114274802224,0.799915898676,0.0178137833788,0.127957768522
0.014251026703,0.170125427985,40000,0.135874814426,0.00051625342138,0.136216422073,0.798674343015,0.0212656784982,0.149991479092
0.014251026703,0.20309176209,40000,0.162026597903,0.000615617230913,0.162442560064,0.79779995129,0.0253864702613,0.176294808101
0.014251026703,0.242446201708,40000,0.193276657985,0.000734316549748,0.193778170009,0.797194002725,0.0303057752135,0.207695107871
0.014251026703,0.289426612472,40000,0.230608000934,0.000876085162283,0.231208908357,0.79677538622,0.036178326559,0.24518005228
0.014251026703,0.345510729459,40000,0.27519526816,0.00104537992946,0.275912142301,0.796488342317,0.0431888411824,0.28992870333
0.014251026703,0.41246263829,40000,0.328440553734,0.00124752850611,0.329293985957,0.796291647398,0.0515578297863,0.343348597703
0.014251026703,0.492388263171,40000,0.392017510334,0.00148889694944,0.393033530404,0.79615526944,0.0615485328963,0.407120019807
0.014251026703,0.587801607227,40000,0.467924716662,0.00177708522803,0.469135659309,0.796058926871,0.0734752009034,0.483248853925
0.014251026703,0.70170382867,40000,0.558549379582,0.00212116077347,0.559994111697,0.795990212339,0.0877129785838,0.574129677855
