scenario,replicate,method,truth,estimate,error,radius,width,covered,joint_set_covered,weights,outer_status,outer_lower,outer_upper,outer_covered,assumption_valid,solver_successes,solver_failures,global_optimum_certified,fallback
bounded_nuisance_bias,0,archive_mean,0.522855719605,-0.109663394488,0.632519114094,,,,True,"[0.25, 0.25, 0.25, 0.25]",nonempty,-1.16853229673,1.36361654788,True,True,,,,
nominal,1,robust_Rinf,-0.269853061577,-0.382958681199,0.113105619622,0.619247605288,1.23849521058,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.00220628649,0.236288924089,True,True,3,0,False,False
nominal,1,design_R2,-0.269853061577,-0.382958681199,0.113105619622,0.591062125887,1.18212425177,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.00220628649,0.236288924089,True,True,3,0,False,False
nominal,1,adaptive_Rinf,-0.269853061577,-0.382858904511,0.113005842934,0.61943181011,1.23886362022,True,True,"[5.6828693584876224e-05, 0.9998279126531564, 8.509561052530843e-08, 0.0001151735576482971]",nonempty,-1.00220628649,0.236288924089,True,True,,,,
nominal,1,adaptive_R2_invalid,-0.269853061577,-0.382858904511,0.113005842934,0.591207226498,1.182414453,True,True,"[5.6828693584876224e-05, 0.9998279126531564, 8.509561052530843e-08, 0.0001151735576482971]",nonempty,-1.00220628649,0.236288924089,True,True,,,,
nominal,1,singleton_U,-0.269853061577,-0.382958681199,0.113105619622,0.240133873104,0.480267746209,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.00220628649,0.236288924089,True,True,3,0,False,False
nominal,1,no_curvature,-0.269853061577,-0.382958681199,0.113105619622,0.619247605288,1.23849521058,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.00220628649,0.236288924089,True,True,3,0,False,False
nominal,1,ridge_source_only,-0.269853061577,-0.296324700871,0.0264716392949,,,,True,,nonempty,-1.00220628649,0.236288924089,True,True,,,,
nominal,1,archive_mean,-0.269853061577,0.0158617724104,0.285714833987,,,,True,"[0.25, 0.25, 0.25, 0.25]",nonempty,-1.00220628649,0.236288924089,True,True,,,,
extrapolation,1,robust_Rinf,0.84075,0.0363010549827,0.804448945017,2.00465352438,4.00930704876,True,True,"[0.0, 1.4571677198205177e-16, 2.7755575615628907e-17, 0.9999999999999998]",nonempty,-1.9683524694,1.86371694608,True,True,3,0,False,False
extrapolation,1,design_R2,0.84075,0.0363010549827,0.804448945017,1.95767772538,3.91535545076,True,True,"[0.0, 1.4571677198205177e-16, 2.7755575615628907e-17, 0.9999999999999998]",nonempty,-1.9683524694,1.86371694608,True,True,3,0,False,False
extrapolation,1,adaptive_Rinf,0.84075,-0.367024415326,1.20777441533,2.23785821219,4.47571642437,True,True,"[0.022656566682926597, 0.9773408678981953, 2.506341002162151e-06, 5.907787595929289e-08]",nonempty,-1.9683524694,1.86371694608,True,True,,,,
extrapolation,1,adaptive_R2_invalid,0.84075,-0.367024415326,1.20777441533,2.20744243642,4.41488487283,True,True,"[0.022656566682926597, 0.9773408678981953, 2.506341002162151e-06, 5.907787595929289e-08]",nonempty,-1.9683524694,1.86371694608,True,True,,,,
extrapolation,1,singleton_U,0.84075,0.0363010549827,0.804448945017,1.80653873268,3.61307746537,True,True,"[0.0, 0.0, 0.0, 1.0]",nonempty,-1.9683524694,1.86371694608,True,True,3,0,False,False
extrapolation,1,no_curvature,0.84075,0.0363010549827,0.804448945017,2.00465352438,4.00930704876,True,True,"[0.0, 0.0, 1.9428902930940235e-16, 0.9999999999999998]",nonempty,-1.9683524694,1.86371694608,True,True,3,0,False,False
extrapolation,1,ridge_source_only,0.84075,0.403916555994,0.436833444006,,,,True,,nonempty,-1.9683524694,1.86371694608,True,True,,,,
extrapolation,1,archive_mean,0.84075,-0.184282107564,1.02503210756,,,,True,"[0.25, 0.25, 0.25, 0.25]",nonempty,-1.9683524694,1.86371694608,True,True,,,,
proxy_shift,1,robust_Rinf,-0.269853061577,-0.355314391475,0.0854613298979,0.57289701361,1.14579402722,True,False,"[0.048463773208553294, 0.9515362267914467, 4.52175611855264e-20, 4.795524567221212e-18]",nonempty,-0.872685254358,0.224687178077,True,False,3,0,False,False
proxy_shift,1,design_R2,-0.269853061577,-0.355314391475,0.0854613298979,0.539990729796,1.07998145959,True,False,"[0.048463773208553294, 0.9515362267914467, 4.52175611855264e-20, 4.795524567221212e-18]",nonempty,-0.872685254358,0.224687178077,True,False,3,0,False,False
proxy_shift,1,adaptive_Rinf,-0.269853061577,-0.382858904511,0.113005842934,0.607544918146,1.21508983629,True,False,"[5.6828693584876224e-05, 0.9998279126531564, 8.509561052530843e-08, 0.0001151735576482971]",nonempty,-0.872685254358,0.224687178077,True,False,,,,
proxy_shift,1,adaptive_R2_invalid,-0.269853061577,-0.382858904511,0.113005842934,0.579320334534,1.15864066907,True,False,"[5.6828693584876224e-05, 0.9998279126531564, 8.509561052530843e-08, 0.0001151735576482971]",nonempty,-0.872685254358,0.224687178077,True,False,,,,
proxy_shift,1,singleton_U,-0.269853061577,-0.355314391475,0.0854613298979,0.193783281426,0.387566562852,True,False,"[0.0484637732085789, 0.9515362267914211, 2.769195822122641e-18, 5.1501305340598693e-17]",nonempty,-0.872685254358,0.224687178077,True,False,3,0,False,False
proxy_shift,1,no_curvature,-0.269853061577,-0.355314393567,0.0854613319904,0.567183321455,1.13436664291,True,False,"[0.04846376954017518, 0.9515362304598248, 7.4375906687912e-18, 2.3073045191210563e-17]",nonempty,-0.872685254358,0.224687178077,True,False,3,0,False,False
proxy_shift,1,ridge_source_only,-0.269853061577,-0.205462388936,0.0643906726404,,,,False,,nonempty,-0.872685254358,0.224687178077,True,False,,,,
proxy_shift,1,archive_mean,-0.269853061577,0.0158617724104,0.285714833987,,,,False,"[0.25, 0.25, 0.25, 0.25]",nonempty,-0.872685254358,0.224687178077,True,False,,,,
understated_LH,1,robust_Rinf,-0.269853061577,-0.382958681199,0.113105619622,0.233966655689,0.467933311379,True,True,"[0.0, 1.0, 0.0, 0.0]",inconsistent,-0.0810891223619,-0.14899202551,False,False,3,0,False,False
understated_LH,1,design_R2,-0.269853061577,-0.382958681199,0.113105619622,0.205781176289,0.411562352577,True,True,"[0.0, 1.0, 0.0, 0.0]",inconsistent,-0.0810891223619,-0.14899202551,False,False,3,0,False,False
understated_LH,1,adaptive_Rinf,-0.269853061577,-0.382858904511,0.113005842934,0.233995031864,0.467990063729,True,True,"[5.6828693584876224e-05, 0.9998279126531564, 8.509561052530843e-08, 0.0001151735576482971]",inconsistent,-0.0810891223619,-0.14899202551,False,False,,,,
understated_LH,1,adaptive_R2_invalid,-0.269853061577,-0.382858904511,0.113005842934,0.205770448252,0.411540896505,True,True,"[5.6828693584876224e-05, 0.9998279126531564, 8.509561052530843e-08, 0.0001151735576482971]",inconsistent,-0.0810891223619,-0.14899202551,False,False,,,,
understated_LH,1,singleton_U,-0.269853061577,-0.382958681199,0.113105619622,0.196055282471,0.392110564942,True,True,"[0.0, 1.0, 0.0, 0.0]",inconsistent,-0.0810891223619,-0.14899202551,False,False,3,0,False,False
understated_LH,1,no_curvature,-0.269853061577,-0.382958681199,0.113105619622,0.233966655689,0.467933311379,True,True,"[0.0, 1.0, 0.0, 0.0]",inconsistent,-0.0810891223619,-0.14899202551,False,False,3,0,False,False
understated_LH,1,ridge_source_only,-0.269853061577,-0.296324700871,0.0264716392949,,,,True,,inconsistent,-0.0810891223619,-0.14899202551,False,False,,,,
understated_LH,1,archive_mean,-0.269853061577,0.0158617724104,0.285714833987,,,,True,"[0.25, 0.25, 0.25, 0.25]",inconsistent,-0.0810891223619,-0.14899202551,False,False,,,,
high_noise,1,robust_Rinf,-0.269853061577,-0.641920372625,0.372067311048,1.00156292787,2.00312585573,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.53817634639,0.359642555243,True,True,3,0,False,False
high_noise,1,design_R2,-0.269853061577,-0.641920372625,0.372067311048,0.917006489665,1.83401297933,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.53817634639,0.359642555243,True,True,3,0,False,False
high_noise,1,adaptive_Rinf,-0.269853061577,-0.635840183045,0.365987121468,1.00827051697,2.01654103393,True,True,"[1.7429326698320704e-11, 0.9948411901473379, 6.473552473531479e-10, 0.005158809187877622]",nonempty,-1.53817634639,0.359642555243,True,True,,,,
high_noise,1,adaptive_R2_invalid,-0.269853061577,-0.635840183045,0.365987121468,0.919237724516,1.83847544903,True,True,"[1.7429326698320704e-11, 0.9948411901473379, 6.473552473531479e-10, 0.005158809187877622]",nonempty,-1.53817634639,0.359642555243,True,True,,,,
high_noise,1,singleton_U,-0.269853061577,-0.641920372625,0.372067311048,0.622449195683,1.24489839137,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.53817634639,0.359642555243,True,True,3,0,False,False
high_noise,1,no_curvature,-0.269853061577,-0.641920372625,0.372067311048,1.00156292787,2.00312585573,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.53817634639,0.359642555243,True,True,3,0,False,False
high_noise,1,ridge_source_only,-0.269853061577,-0.431904547387,0.16205148581,,,,True,,nonempty,-1.53817634639,0.359642555243,True,True,,,,
high_noise,1,archive_mean,-0.269853061577,0.0650475572828,0.334900618859,,,,True,"[0.25, 0.25, 0.25, 0.25]",nonempty,-1.53817634639,0.359642555243,True,True,,,,
bounded_nuisance_bias,1,robust_Rinf,-0.269853061577,-0.322958681199,0.0531056196225,0.679247605288,1.35849521058,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.00220628649,0.356288924089,True,True,3,0,False,False
bounded_nuisance_bias,1,design_R2,-0.269853061577,-0.322958681199,0.0531056196225,0.651062125887,1.30212425177,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.00220628649,0.356288924089,True,True,3,0,False,False
bounded_nuisance_bias,1,adaptive_Rinf,-0.269853061577,-0.296977045891,0.027123984314,0.725501443938,1.45100288788,True,True,"[5.4311404446983936e-05, 0.9555394417150682, 1.0576680948563494e-07, 0.0444061411136754]",nonempty,-1.00220628649,0.356288924089,True,True,,,,
bounded_nuisance_bias,1,adaptive_R2_invalid,-0.269853061577,-0.296977045891,0.027123984314,0.684880945759,1.36976189152,True,True,"[5.4311404446983936e-05, 0.9555394417150682, 1.0576680948563494e-07, 0.0444061411136754]",nonempty,-1.00220628649,0.356288924089,True,True,,,,
bounded_nuisance_bias,1,singleton_U,-0.269853061577,-0.322958681199,0.0531056196225,0.300133873104,0.600267746209,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.00220628649,0.356288924089,True,True,3,0,False,False
bounded_nuisance_bias,1,no_curvature,-0.269853061577,-0.322958681199,0.0531056196225,0.679247605288,1.35849521058,True,True,"[0.0, 1.0, 0.0, 0.0]",nonempty,-1.00220628649,0.356288924089,True,True,3,0,False,False
bounded_nuisance_bias,1,ridge_source_only,-0.269853061577,-0.254373786556,0.0154792750207,,,,True,,nonempty,-1.00220628649,0.356288924089,True,True,,,,
