replicate,method,trial,selected,information,information_ratio,target_radius,target_radius_ratio,condition,all_subset_kappa,target_radius_bound,greedy_seconds,exhaustive_seconds
0,random,109,"(1, 3, 4, 9)",4.02408661745,0.692061876663,1.64966348652,1.72126796171,14.6857368273,85.2192507604,11.5983304179,,
0,random,110,"(0, 2, 7, 8)",4.7848266206,0.822893840356,1.07455662845,1.12119830056,55.9497898854,85.2192507604,10.2171855233,,
0,random,111,"(0, 1, 9, 10)",5.27127493195,0.906553155688,1.31348883417,1.37050147912,43.2746694706,85.2192507604,9.42152004517,,
0,random,112,"(1, 2, 6, 8)",4.41848651734,0.75989071854,1.19496412287,1.24683214298,42.7101747302,85.2192507604,10.8604509937,,
0,random,113,"(3, 4, 5, 11)",2.72209666329,0.468145818999,2.3584910194,2.46086251096,13.6642099764,85.2192507604,14.4090932641,,
0,random,114,"(0, 3, 4, 9)",4.62555373376,0.795502110643,1.27871736929,1.33422074127,22.9822551149,85.2192507604,10.4920375286,,
0,random,115,"(1, 3, 9, 11)",3.35188943589,0.576457495549,1.92126314156,2.00465653668,14.1705760521,85.2192507604,12.9733080769,,
0,random,116,"(1, 3, 5, 10)",3.88200572554,0.667626823931,2.05653979495,2.14580494141,17.5014777506,85.2192507604,11.8762583059,,
0,random,117,"(1, 4, 5, 11)",3.28323698221,0.564650655774,2.06850748517,2.15829209525,14.1604341018,85.2192507604,13.1226021371,,
0,random,118,"(4, 8, 9, 10)",4.93539600955,0.84878874367,1.24557948437,1.29964448976,44.7306667077,85.2192507604,9.96397670596,,
0,random,119,"(2, 3, 9, 10)",4.23677736326,0.728640402596,1.56512709177,1.63306222214,28.9432567888,85.2192507604,11.1943893358,,
0,random,120,"(0, 1, 3, 10)",4.71711737217,0.811249212894,2.14579184577,2.23893102248,34.9335384747,85.2192507604,10.3331382073,,
0,random,121,"(6, 7, 10, 11)",2.93779006649,0.505240741549,1.96476345685,2.05004500509,24.3944805653,85.2192507604,13.9003022349,,
0,random,122,"(0, 5, 6, 7)",3.30626271782,0.568610618697,1.97340921659,2.05906603838,36.4809381072,85.2192507604,13.0723390496,,
0,random,123,"(4, 5, 7, 11)",2.73396529394,0.470186984507,1.93831795846,2.02245162651,13.7281476532,85.2192507604,14.3806187351,,
0,random,124,"(1, 4, 5, 11)",3.28323698221,0.564650655774,2.06850748517,2.15829209525,14.1604341018,85.2192507604,13.1226021371,,
0,random,125,"(0, 3, 8, 11)",3.51952832666,0.605288009496,2.19404347918,2.28927704236,66.4357853081,85.2192507604,12.6158531136,,
0,random,126,"(1, 4, 6, 10)",3.82517318582,0.657852771374,2.19479740346,2.2900636911,26.2044567224,85.2192507604,11.9892857509,,
0,random,127,"(4, 5, 7, 10)",3.40892568005,0.586266581169,1.97567188157,2.06142691548,26.3318673152,85.2192507604,12.8505675947,,
0,random,128,"(2, 6, 10, 11)",3.65916530362,0.629302758063,1.50365704761,1.56892403973,29.8535961787,85.2192507604,12.3256366927,,
0,random,129,"(3, 4, 7, 10)",3.25888900976,0.560463294739,2.0017336119,2.08861986836,32.1389250937,85.2192507604,13.1759617896,,
0,random,130,"(1, 4, 6, 9)",3.91393150353,0.673117414948,1.64003482245,1.71122136063,16.371762186,85.2192507604,11.8132330013,,
