method,threshold,n_released,release_rate,reference_mae,reference_inclusion,mean_width
fixed,0.41,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
fixed,0.415,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
fixed,0.42,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
fixed,0.425,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
fixed,0.43,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
fixed,0.435,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
fixed,0.44,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
fixed,0.445,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
fixed,0.45,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
fixed,0.455,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
fixed,0.46,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
fixed,0.465,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
fixed,0.47,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
fixed,0.475,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
fixed,0.48,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
fixed,0.485,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
fixed,0.49,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
fixed,0.495,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
fixed,0.5,56,0.982456140351,0.0812557700409,0.982142857143,0.393218790893
random,0.05,0,0,,,
random,0.055,0,0,,,
random,0.06,0,0,,,
random,0.065,0,0,,,
random,0.07,0,0,,,
random,0.075,0,0,,,
random,0.08,1,0.0175438596491,0.0209541533363,1,0.15236007813
random,0.085,1,0.0175438596491,0.0209541533363,1,0.15236007813
random,0.09,1,0.0175438596491,0.0209541533363,1,0.15236007813
random,0.095,1,0.0175438596491,0.0209541533363,1,0.15236007813
random,0.1,1,0.0175438596491,0.0209541533363,1,0.15236007813
random,0.105,1,0.0175438596491,0.0209541533363,1,0.15236007813
random,0.11,1,0.0175438596491,0.0209541533363,1,0.15236007813
random,0.115,2,0.0350877192982,0.0395904122424,1,0.187494807861
random,0.12,2,0.0350877192982,0.0395904122424,1,0.187494807861
random,0.125,4,0.0701754385965,0.0418738587846,1,0.215356751368
random,0.13,4,0.0701754385965,0.0418738587846,1,0.215356751368
random,0.135,4,0.0701754385965,0.0418738587846,1,0.215356751368
random,0.14,5,0.0877192982456,0.0497989269032,1,0.227847591983
random,0.145,6,0.105263157895,0.0488608078012,1,0.23742834657
random,0.15,6,0.105263157895,0.0488608078012,1,0.23742834657
random,0.155,10,0.175438596491,0.0593048594813,1,0.264425374543
random,0.16,11,0.19298245614,0.0677133191281,1,0.269416360725
random,0.165,12,0.210526315789,0.0634999302417,1,0.274112529166
random,0.17,12,0.210526315789,0.0634999302417,1,0.274112529166
random,0.175,13,0.228070175439,0.0605163993722,1,0.279737901224
random,0.18,14,0.245614035088,0.0609173116693,1,0.285393023844
random,0.185,16,0.280701754386,0.0639256947424,1,0.295500821821
random,0.19,17,0.298245614035,0.0636359147493,1,0.299904361984
random,0.195,19,0.333333333333,0.0596781978281,1,0.308850131064
random,0.2,21,0.368421052632,0.0621268584305,1,0.317050849461
random,0.205,27,0.473684210526,0.0630327291875,1,0.336395870371
random,0.21,31,0.543859649123,0.0647372452601,1,0.346515402981
random,0.215,32,0.561403508772,0.0669592450188,1,0.349017517491
random,0.22,41,0.719298245614,0.0715599926659,1,0.367854118369
random,0.225,47,0.824561403509,0.0771839945882,0.978723404255,0.377747025195
