k,replicate,test_scale,method,radius,joint_covered,marginal_fraction
4,46,1,gaussian_union,2.57582930355,True,1
4,46,2,joint_max,2.59543777785,False,0.8
4,46,2,marginal_only_invalid,1.70391726529,False,0.6
4,46,2,gaussian_union,2.57582930355,False,0.8
4,47,1,joint_max,2.62053445958,True,1
4,47,1,marginal_only_invalid,2.02303145022,True,1
4,47,1,gaussian_union,2.57582930355,True,1
4,47,2,joint_max,2.62053445958,False,0.6
4,47,2,marginal_only_invalid,2.02303145022,False,0.6
4,47,2,gaussian_union,2.57582930355,False,0.6
4,48,1,joint_max,2.77079491066,True,1
4,48,1,marginal_only_invalid,1.84226158585,False,0.8
4,48,1,gaussian_union,2.57582930355,True,1
4,48,2,joint_max,2.77079491066,False,0.8
4,48,2,marginal_only_invalid,1.84226158585,False,0.8
4,48,2,gaussian_union,2.57582930355,False,0.8
4,49,1,joint_max,2.51980735443,True,1
4,49,1,marginal_only_invalid,2.0262799746,True,1
4,49,1,gaussian_union,2.57582930355,True,1
4,49,2,joint_max,2.51980735443,True,1
4,49,2,marginal_only_invalid,2.0262799746,True,1
4,49,2,gaussian_union,2.57582930355,True,1
4,50,1,joint_max,2.64481891808,True,1
4,50,1,marginal_only_invalid,1.91557321688,True,1
4,50,1,gaussian_union,2.57582930355,True,1
4,50,2,joint_max,2.64481891808,True,1
4,50,2,marginal_only_invalid,1.91557321688,False,0.8
4,50,2,gaussian_union,2.57582930355,True,1
4,51,1,joint_max,2.49970236645,True,1
4,51,1,marginal_only_invalid,2.10060250062,True,1
4,51,1,gaussian_union,2.57582930355,True,1
4,51,2,joint_max,2.49970236645,False,0.8
4,51,2,marginal_only_invalid,2.10060250062,False,0.6
4,51,2,gaussian_union,2.57582930355,True,1
4,52,1,joint_max,2.49747855679,True,1
4,52,1,marginal_only_invalid,1.77859073915,True,1
4,52,1,gaussian_union,2.57582930355,True,1
4,52,2,joint_max,2.49747855679,True,1
4,52,2,marginal_only_invalid,1.77859073915,True,1
4,52,2,gaussian_union,2.57582930355,True,1
4,53,1,joint_max,2.49882112679,True,1
4,53,1,marginal_only_invalid,2.05138935598,True,1
4,53,1,gaussian_union,2.57582930355,True,1
4,53,2,joint_max,2.49882112679,False,0.8
4,53,2,marginal_only_invalid,2.05138935598,False,0.6
4,53,2,gaussian_union,2.57582930355,False,0.8
4,54,1,joint_max,2.54914089282,True,1
4,54,1,marginal_only_invalid,2.12213868485,True,1
4,54,1,gaussian_union,2.57582930355,True,1
4,54,2,joint_max,2.54914089282,True,1
4,54,2,marginal_only_invalid,2.12213868485,True,1
4,54,2,gaussian_union,2.57582930355,True,1
4,55,1,joint_max,2.55080900153,True,1
4,55,1,marginal_only_invalid,2.05275135773,True,1
4,55,1,gaussian_union,2.57582930355,True,1
4,55,2,joint_max,2.55080900153,True,1
4,55,2,marginal_only_invalid,2.05275135773,False,0.8
4,55,2,gaussian_union,2.57582930355,True,1
4,56,1,joint_max,2.67513311769,True,1
4,56,1,marginal_only_invalid,2.28675154248,True,1
4,56,1,gaussian_union,2.57582930355,True,1
4,56,2,joint_max,2.67513311769,True,1
4,56,2,marginal_only_invalid,2.28675154248,False,0.8
4,56,2,gaussian_union,2.57582930355,True,1
4,57,1,joint_max,2.64149179839,True,1
4,57,1,marginal_only_invalid,2.13303764583,True,1
4,57,1,gaussian_union,2.57582930355,True,1
4,57,2,joint_max,2.64149179839,False,0.6
4,57,2,marginal_only_invalid,2.13303764583,False,0.4
4,57,2,gaussian_union,2.57582930355,False,0.6
4,58,1,joint_max,2.5774795062,True,1
4,58,1,marginal_only_invalid,1.9684495073,True,1
4,58,1,gaussian_union,2.57582930355,True,1
4,58,2,joint_max,2.5774795062,True,1
4,58,2,marginal_only_invalid,1.9684495073,True,1
