surface,scenario,replicate,method,stage,candidate,planned_radius,solver_failures
linear,bridgeable,6,r2_targeted,2,7,0.169367019945437,0
linear,bridgeable,6,r2_targeted,2,8,0.162378735805147,0
linear,bridgeable,6,r2_targeted,3,4,0.159660133871727,0
linear,bridgeable,6,r2_targeted,3,5,0.157294032200501,0
linear,bridgeable,6,r2_targeted,3,6,0.153423039904537,0
linear,bridgeable,6,r2_targeted,3,7,0.149986837374885,0
linear,bridgeable,6,rinf_targeted,1,4,0.56390150496259,0
linear,bridgeable,6,rinf_targeted,1,5,0.430573888744038,0
linear,bridgeable,6,rinf_targeted,1,6,0.332192877668875,0
linear,bridgeable,6,rinf_targeted,1,7,0.297323532800347,0
linear,bridgeable,6,rinf_targeted,1,8,0.273395427981036,0
linear,bridgeable,6,rinf_targeted,1,9,0.26230444294886,0
linear,bridgeable,6,rinf_targeted,2,4,0.26230444294886,0
linear,bridgeable,6,rinf_targeted,2,5,0.262304442390533,0
linear,bridgeable,6,rinf_targeted,2,6,0.262304439817935,0
linear,bridgeable,6,rinf_targeted,2,7,0.26230444294886,0
linear,bridgeable,6,rinf_targeted,2,8,0.26230444294886,0
linear,bridgeable,6,rinf_targeted,3,4,0.262304439817935,0
linear,bridgeable,6,rinf_targeted,3,5,0.262304439817935,0
linear,bridgeable,6,rinf_targeted,3,7,0.262304439817935,0
linear,bridgeable,6,rinf_targeted,3,8,0.262304439817935,0
linear,bridgeable,7,r2_targeted,1,4,0.475156960273103,0
linear,bridgeable,7,r2_targeted,1,5,0.39053884701329,0
linear,bridgeable,7,r2_targeted,1,6,0.289625478905136,0
linear,bridgeable,7,r2_targeted,1,7,0.229189570564348,0
linear,bridgeable,7,r2_targeted,1,8,0.203864605229791,0
linear,bridgeable,7,r2_targeted,1,9,0.189487873528952,0
linear,bridgeable,7,r2_targeted,2,4,0.185191995388603,0
linear,bridgeable,7,r2_targeted,2,5,0.178962649266102,0
linear,bridgeable,7,r2_targeted,2,6,0.172254017338654,0
linear,bridgeable,7,r2_targeted,2,7,0.164773299715934,0
linear,bridgeable,7,r2_targeted,2,8,0.159461124714205,0
linear,bridgeable,7,r2_targeted,3,4,0.157058035629924,0
linear,bridgeable,7,r2_targeted,3,5,0.154150275737142,0
linear,bridgeable,7,r2_targeted,3,6,0.150927460696474,0
linear,bridgeable,7,r2_targeted,3,7,0.147045167590342,0
linear,bridgeable,7,rinf_targeted,1,4,0.513812662163556,0
linear,bridgeable,7,rinf_targeted,1,5,0.401292567205575,0
linear,bridgeable,7,rinf_targeted,1,6,0.330721058992735,0
linear,bridgeable,7,rinf_targeted,1,7,0.288118804487418,0
linear,bridgeable,7,rinf_targeted,1,8,0.268781643188689,0
linear,bridgeable,7,rinf_targeted,1,9,0.256197850581491,0
linear,bridgeable,7,rinf_targeted,2,4,0.256197850581491,0
linear,bridgeable,7,rinf_targeted,2,5,0.256197850581491,0
linear,bridgeable,7,rinf_targeted,2,6,0.256197850581491,0
linear,bridgeable,7,rinf_targeted,2,7,0.256197850581491,0
linear,bridgeable,7,rinf_targeted,2,8,0.256197850581491,0
linear,bridgeable,7,rinf_targeted,3,5,0.256197850581491,0
linear,bridgeable,7,rinf_targeted,3,6,0.256197850581491,0
linear,bridgeable,7,rinf_targeted,3,7,0.256197850581491,0
linear,bridgeable,7,rinf_targeted,3,8,0.256197850581491,0
linear,bridgeable,8,r2_targeted,1,4,0.499789235431804,0
linear,bridgeable,8,r2_targeted,1,5,0.39585675327734,0
linear,bridgeable,8,r2_targeted,1,6,0.284136468071235,0
linear,bridgeable,8,r2_targeted,1,7,0.234363900290079,0
linear,bridgeable,8,r2_targeted,1,8,0.212374871165158,0
