surface,scenario,method,tolerance,budget,n,mean_new_n,mean_actual_bridges,n_released,released_mae,released_bad_rate,mean_certificate_radius,mean_output_width,inconsistent_fraction,released,released_lower,released_upper,bad_release,bad_release_lower,bad_release_upper,path_covered,path_covered_lower,path_covered_upper,covered,covered_lower,covered_upper,joint_set_covered,joint_set_covered_lower,joint_set_covered_upper
linear,bridgeable,rinf_targeted,0.2,0,200,0,0,0,,,0.547353529824,1.05073296032,0,0,1.73472347598e-18,0.0188453263773,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,rinf_targeted,0.2,1,200,96,1,0,,,0.260985954664,0.572771890802,0,0,1.73472347598e-18,0.0188453263773,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,rinf_targeted,0.2,2,200,192,2,0,,,0.260984278645,0.533044163656,0,0,1.73472347598e-18,0.0188453263773,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,rinf_targeted,0.2,3,200,288,3,0,,,0.260984277957,0.507503019407,0,0,1.73472347598e-18,0.0188453263773,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,rinf_targeted,0.3,0,200,0,0,0,,,0.547353529824,1.05073296032,0,0,1.73472347598e-18,0.0188453263773,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,rinf_targeted,0.3,1,200,96,1,200,0.0341712285052,0,0.260985954664,0.521971909329,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,rinf_targeted,0.3,2,200,96,1,200,0.0341712285052,0,0.260985954664,0.521971909329,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,rinf_targeted,0.3,3,200,96,1,200,0.0341712285052,0,0.260985954664,0.521971909329,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,target_only,0.2,0,200,0,0,0,,,inf,inf,0,0,1.73472347598e-18,0.0188453263773,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,target_only,0.2,1,200,96,1,0,,,0.29205966008,0.584119320161,0,0,1.73472347598e-18,0.0188453263773,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,target_only,0.2,2,200,192,2,0,,,0.206517366154,0.413034732308,0,0,1.73472347598e-18,0.0188453263773,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,target_only,0.2,3,200,288,3,200,0.0467517440177,0,0.168620723367,0.337241446734,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,target_only,0.3,0,200,0,0,0,,,inf,inf,0,0,1.73472347598e-18,0.0188453263773,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,target_only,0.3,1,200,96,1,200,0.0789612645987,0,0.29205966008,0.584119320161,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,target_only,0.3,2,200,96,1,200,0.0789612645987,0,0.29205966008,0.584119320161,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,bridgeable,target_only,0.3,3,200,96,1,200,0.0789612645987,0,0.29205966008,0.584119320161,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.93,0.885945191144,0.957847828172
linear,supported,r2_nearest,0.2,0,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_nearest,0.2,1,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_nearest,0.2,2,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_nearest,0.2,3,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_nearest,0.3,0,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_nearest,0.3,1,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_nearest,0.3,2,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_nearest,0.3,3,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_random,0.2,0,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_random,0.2,1,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_random,0.2,2,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_random,0.2,3,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_random,0.3,0,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_random,0.3,1,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_random,0.3,2,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_random,0.3,3,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_static,0.2,0,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_static,0.2,1,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_static,0.2,2,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_static,0.2,3,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_static,0.3,0,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_static,0.3,1,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_static,0.3,2,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_static,0.3,3,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_targeted,0.2,0,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_targeted,0.2,1,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_targeted,0.2,2,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
linear,supported,r2_targeted,0.2,3,200,0,0,200,0.0151247385291,0,0.111240651776,0.222481303551,0,1,0.981154673623,1,0,1.73472347598e-18,0.0188453263773,1,0.981154673623,1,1,0.981154673623,1,0.975,0.942821659593,0.989275280348
