scenario,method,tolerance,budget,n_worlds,released,released_lower,released_upper,bad_release,bad_release_lower,bad_release_upper,path_covered,path_covered_lower,path_covered_upper,new_n,new_n_lower,new_n_upper,released_mae,released_bad_rate,mean_output_width,mean_refusal_width,mean_certificate_radius,n_released
supported,r2_targeted,0.3,3,600,1,1,1,0,0,0,1,1,1,0,0,0,0.0153016868312,0,0.234194753481,,0.117097376741,600
supported,rinf_targeted,0.2,0,600,1,1,1,0,0,0,1,1,1,0,0,0,0.0191577965243,0,0.353926978653,,0.176963489326,600
supported,rinf_targeted,0.2,1,600,1,1,1,0,0,0,1,1,1,0,0,0,0.0191577965243,0,0.353926978653,,0.176963489326,600
supported,rinf_targeted,0.2,2,600,1,1,1,0,0,0,1,1,1,0,0,0,0.0191577965243,0,0.353926978653,,0.176963489326,600
supported,rinf_targeted,0.2,3,600,1,1,1,0,0,0,1,1,1,0,0,0,0.0191577965243,0,0.353926978653,,0.176963489326,600
supported,rinf_targeted,0.3,0,600,1,1,1,0,0,0,1,1,1,0,0,0,0.0191577965243,0,0.353926978653,,0.176963489326,600
supported,rinf_targeted,0.3,1,600,1,1,1,0,0,0,1,1,1,0,0,0,0.0191577965243,0,0.353926978653,,0.176963489326,600
supported,rinf_targeted,0.3,2,600,1,1,1,0,0,0,1,1,1,0,0,0,0.0191577965243,0,0.353926978653,,0.176963489326,600
supported,rinf_targeted,0.3,3,600,1,1,1,0,0,0,1,1,1,0,0,0,0.0191577965243,0,0.353926978653,,0.176963489326,600
supported,target_only,0.2,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,inf,inf,inf,0
supported,target_only,0.2,1,600,0,0,0,0,0,0,0.996666666667,0.991666666667,1,96,96,96,,,0.584119320161,0.584119320161,0.29205966008,0
supported,target_only,0.2,2,600,0,0,0,0,0,0,0.991666666667,0.983333333333,0.998333333333,192,192,192,,,0.413034732308,0.413034732308,0.206517366154,0
supported,target_only,0.2,3,600,1,1,1,0.005,0,0.0116666666667,0.985,0.975,0.993333333333,288,288,288,0.0477017733876,0.005,0.337241446734,,0.168620723367,600
supported,target_only,0.3,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,inf,inf,inf,0
supported,target_only,0.3,1,600,1,1,1,0.00166666666667,0,0.005,0.996666666667,0.991666666667,1,96,96,96,0.084410646594,0.00166666666667,0.584119320161,,0.29205966008,600
supported,target_only,0.3,2,600,1,1,1,0.00166666666667,0,0.005,0.996666666667,0.991666666667,1,96,96,96,0.084410646594,0.00166666666667,0.584119320161,,0.29205966008,600
supported,target_only,0.3,3,600,1,1,1,0.00166666666667,0,0.005,0.996666666667,0.991666666667,1,96,96,96,0.084410646594,0.00166666666667,0.584119320161,,0.29205966008,600
unreachable,r2_nearest,0.2,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,2.8863924163,2.8863924163,1.44792310788,0
unreachable,r2_nearest,0.2,1,600,0,0,0,0,0,0,1,1,1,96,96,96,,,2.48881674911,2.48881674911,1.30578220675,0
unreachable,r2_nearest,0.2,2,600,0,0,0,0,0,0,1,1,1,192,192,192,,,2.47998346796,2.47998346796,1.25141126408,0
unreachable,r2_nearest,0.2,3,600,0,0,0,0,0,0,1,1,1,288,288,288,,,2.4767862555,2.4767862555,1.23274271976,0
unreachable,r2_nearest,0.3,0,600,0,0,0,0,0,0,1,1,1,0,0,0,,,2.8863924163,2.8863924163,1.44792310788,0
