surface,scenario,replicate,method,tolerance,stage,source_id,n,treated_mean,control_mean,effect,noise_sd,target_batch
linear,bridgeable,10,r2_random,0.2,2,6,96,0.127513640343062,0.0286931573766195,0.098820482966443,0.102062072615966,
linear,bridgeable,10,r2_random,0.2,3,9,96,0.555824812336641,0.0351181126497657,0.520706699686875,0.102062072615966,
linear,bridgeable,10,r2_random,0.3,1,5,96,0.0788345794988616,-0.178657366240796,0.257491945739658,0.102062072615966,
linear,bridgeable,10,r2_random,0.3,2,6,96,0.127513640343062,0.0286931573766195,0.098820482966443,0.102062072615966,
linear,bridgeable,10,r2_targeted,0.2,1,9,96,0.555824812336641,0.0351181126497657,0.520706699686875,0.102062072615966,
linear,bridgeable,10,r2_targeted,0.3,1,9,96,0.555824812336641,0.0351181126497657,0.520706699686875,0.102062072615966,
linear,bridgeable,10,rinf_targeted,0.2,1,9,96,0.555824812336641,0.0351181126497657,0.520706699686875,0.102062072615966,
linear,bridgeable,10,rinf_targeted,0.2,2,8,96,0.470521475358409,0.0786192451841463,0.391902230174263,0.102062072615966,
linear,bridgeable,10,rinf_targeted,0.2,3,4,96,-0.276226288904112,-0.0428277748323146,-0.233398514071797,0.102062072615966,
linear,bridgeable,10,rinf_targeted,0.3,1,9,96,0.555824812336641,0.0351181126497657,0.520706699686875,0.102062072615966,
linear,bridgeable,10,target_only,0.2,1,10,96,0.0450986666512454,0.0962486478989326,-0.0511499812476872,0.102062072615966,1
linear,bridgeable,10,target_only,0.2,2,10,96,0.0773635107424818,-0.0677330440936566,0.145096554836138,0.102062072615966,2
linear,bridgeable,10,target_only,0.2,3,10,96,0.122093611251809,0.0168543305663386,0.10523928068547,0.102062072615966,3
linear,bridgeable,10,target_only,0.3,1,10,96,0.0450986666512454,0.0962486478989326,-0.0511499812476872,0.102062072615966,1
linear,bridgeable,11,r2_nearest,0.2,1,5,96,-0.115392697532123,0.0208129978872791,-0.136205695419402,0.102062072615966,
linear,bridgeable,11,r2_nearest,0.2,2,6,96,0.234083617031349,-0.166378182358197,0.400461799389546,0.102062072615966,
