surface,scenario,replicate,method,tolerance,stage,source_id,n,treated_mean,control_mean,effect,noise_sd,target_batch
linear,bridgeable,5,r2_nearest,0.3,1,5,96,0.0173337692356373,0.0296685194756173,-0.01233475023998,0.102062072615966,
linear,bridgeable,5,r2_nearest,0.3,2,6,96,0.10837813055467,-0.0265280738938851,0.134906204448555,0.102062072615966,
linear,bridgeable,5,r2_random,0.2,1,8,96,0.520131647217848,0.0475539193725146,0.472577727845333,0.102062072615966,
linear,bridgeable,5,r2_random,0.2,2,7,96,0.232235078644358,0.219793076685375,0.012442001958983,0.102062072615966,
linear,bridgeable,5,r2_random,0.3,1,8,96,0.520131647217848,0.0475539193725146,0.472577727845333,0.102062072615966,
linear,bridgeable,5,r2_targeted,0.2,1,9,96,0.58872704262751,0.0257013360228335,0.563025706604677,0.102062072615966,
linear,bridgeable,5,r2_targeted,0.3,1,9,96,0.58872704262751,0.0257013360228335,0.563025706604677,0.102062072615966,
linear,bridgeable,5,rinf_targeted,0.2,1,9,96,0.58872704262751,0.0257013360228335,0.563025706604677,0.102062072615966,
linear,bridgeable,5,rinf_targeted,0.2,2,7,96,0.232235078644358,0.219793076685375,0.012442001958983,0.102062072615966,
linear,bridgeable,5,rinf_targeted,0.2,3,8,96,0.520131647217848,0.0475539193725146,0.472577727845333,0.102062072615966,
linear,bridgeable,5,rinf_targeted,0.3,1,9,96,0.58872704262751,0.0257013360228335,0.563025706604677,0.102062072615966,
linear,bridgeable,5,target_only,0.2,1,10,96,-0.123091034930507,-0.0986833485892059,-0.0244076863413015,0.102062072615966,1
linear,bridgeable,5,target_only,0.2,2,10,96,0.0401097022943281,0.00709642183438416,0.0330132804599439,0.102062072615966,2
linear,bridgeable,5,target_only,0.2,3,10,96,0.025630959808806,-0.0907612314162124,0.116392191225018,0.102062072615966,3
linear,bridgeable,5,target_only,0.3,1,10,96,-0.123091034930507,-0.0986833485892059,-0.0244076863413015,0.102062072615966,1
linear,bridgeable,6,r2_nearest,0.2,1,5,96,-0.133708072857523,-0.0129734970693691,-0.120734575788154,0.102062072615966,
linear,bridgeable,6,r2_nearest,0.2,2,4,96,-0.171070417562792,-0.141929805965801,-0.0291406115969911,0.102062072615966,
