surface,scenario,tolerance,scope,comparator,metric,targeted_minus_comparator,lower,upper,n_pairs
quadratic,unreachable,0.3,cell,rinf_targeted,bad_release,0,0,0,200
quadratic,unreachable,0.3,cell,r2_random,released,0,0,0,200
quadratic,unreachable,0.3,cell,r2_random,new_n,0,0,0,200
quadratic,unreachable,0.3,cell,r2_random,bad_release,0,0,0,200
quadratic,unreachable,0.3,cell,r2_nearest,released,0,0,0,200
quadratic,unreachable,0.3,cell,r2_nearest,new_n,0,0,0,200
quadratic,unreachable,0.3,cell,r2_nearest,bad_release,0,0,0,200
quadratic,unreachable,0.3,cell,r2_static,released,0,0,0,200
quadratic,unreachable,0.3,cell,r2_static,new_n,288,288,288,200
quadratic,unreachable,0.3,cell,r2_static,bad_release,0,0,0,200
quadratic,unreachable,0.3,cell,target_only,released,-1,-1,-1,200
quadratic,unreachable,0.3,cell,target_only,new_n,192,192,192,200
quadratic,unreachable,0.3,cell,target_only,bad_release,0,0,0,200
sinusoidal,bridgeable,0.2,cell,rinf_targeted,released,0,0,0,200
sinusoidal,bridgeable,0.2,cell,rinf_targeted,new_n,0,0,0,200
sinusoidal,bridgeable,0.2,cell,rinf_targeted,bad_release,0,0,0,200
sinusoidal,bridgeable,0.2,cell,r2_random,released,0,0,0,200
sinusoidal,bridgeable,0.2,cell,r2_random,new_n,0,0,0,200
sinusoidal,bridgeable,0.2,cell,r2_random,bad_release,0,0,0,200
sinusoidal,bridgeable,0.2,cell,r2_nearest,released,0,0,0,200
sinusoidal,bridgeable,0.2,cell,r2_nearest,new_n,0,0,0,200
sinusoidal,bridgeable,0.2,cell,r2_nearest,bad_release,0,0,0,200
sinusoidal,bridgeable,0.2,cell,r2_static,released,0,0,0,200
sinusoidal,bridgeable,0.2,cell,r2_static,new_n,288,288,288,200
sinusoidal,bridgeable,0.2,cell,r2_static,bad_release,0,0,0,200
sinusoidal,bridgeable,0.2,cell,target_only,released,-1,-1,-1,200
sinusoidal,bridgeable,0.2,cell,target_only,new_n,0,0,0,200
sinusoidal,bridgeable,0.2,cell,target_only,bad_release,0,0,0,200
sinusoidal,bridgeable,0.3,cell,rinf_targeted,released,1,1,1,200
sinusoidal,bridgeable,0.3,cell,rinf_targeted,new_n,-126.24,-132.48,-120.48,200
sinusoidal,bridgeable,0.3,cell,rinf_targeted,bad_release,0,0,0,200
sinusoidal,bridgeable,0.3,cell,r2_random,released,0,0,0,200
sinusoidal,bridgeable,0.3,cell,r2_random,new_n,-31.2,-38.4,-24.48,200
sinusoidal,bridgeable,0.3,cell,r2_random,bad_release,0,0,0,200
sinusoidal,bridgeable,0.3,cell,r2_nearest,released,0,0,0,200
sinusoidal,bridgeable,0.3,cell,r2_nearest,new_n,-78.72,-88.32,-69.12,200
sinusoidal,bridgeable,0.3,cell,r2_nearest,bad_release,0,0,0,200
sinusoidal,bridgeable,0.3,cell,r2_static,released,1,1,1,200
sinusoidal,bridgeable,0.3,cell,r2_static,new_n,161.76,155.52,168,200
sinusoidal,bridgeable,0.3,cell,r2_static,bad_release,0,0,0,200
sinusoidal,bridgeable,0.3,cell,target_only,released,0,0,0,200
sinusoidal,bridgeable,0.3,cell,target_only,new_n,65.76,59.52,71.52,200
sinusoidal,bridgeable,0.3,cell,target_only,bad_release,-0.005,-0.015,0,200
sinusoidal,supported,0.2,cell,rinf_targeted,released,0,0,0,200
sinusoidal,supported,0.2,cell,rinf_targeted,new_n,0,0,0,200
sinusoidal,supported,0.2,cell,rinf_targeted,bad_release,0,0,0,200
sinusoidal,supported,0.2,cell,r2_random,released,0,0,0,200
sinusoidal,supported,0.2,cell,r2_random,new_n,0,0,0,200
sinusoidal,supported,0.2,cell,r2_random,bad_release,0,0,0,200
sinusoidal,supported,0.2,cell,r2_nearest,released,0,0,0,200
sinusoidal,supported,0.2,cell,r2_nearest,new_n,0,0,0,200
sinusoidal,supported,0.2,cell,r2_nearest,bad_release,0,0,0,200
sinusoidal,supported,0.2,cell,r2_static,released,0,0,0,200
sinusoidal,supported,0.2,cell,r2_static,new_n,0,0,0,200
sinusoidal,supported,0.2,cell,r2_static,bad_release,0,0,0,200
sinusoidal,supported,0.2,cell,target_only,released,0,0,0,200
sinusoidal,supported,0.2,cell,target_only,new_n,-288,-288,-288,200
sinusoidal,supported,0.2,cell,target_only,bad_release,-0.01,-0.025,0,200
sinusoidal,supported,0.3,cell,rinf_targeted,released,0,0,0,200
sinusoidal,supported,0.3,cell,rinf_targeted,new_n,0,0,0,200
sinusoidal,supported,0.3,cell,rinf_targeted,bad_release,0,0,0,200
sinusoidal,supported,0.3,cell,r2_random,released,0,0,0,200
sinusoidal,supported,0.3,cell,r2_random,new_n,0,0,0,200
sinusoidal,supported,0.3,cell,r2_random,bad_release,0,0,0,200
sinusoidal,supported,0.3,cell,r2_nearest,released,0,0,0,200
sinusoidal,supported,0.3,cell,r2_nearest,new_n,0,0,0,200
sinusoidal,supported,0.3,cell,r2_nearest,bad_release,0,0,0,200
sinusoidal,supported,0.3,cell,r2_static,released,0,0,0,200
sinusoidal,supported,0.3,cell,r2_static,new_n,0,0,0,200
sinusoidal,supported,0.3,cell,r2_static,bad_release,0,0,0,200
sinusoidal,supported,0.3,cell,target_only,released,0,0,0,200
sinusoidal,supported,0.3,cell,target_only,new_n,-96,-96,-96,200
sinusoidal,supported,0.3,cell,target_only,bad_release,0,0,0,200
sinusoidal,unreachable,0.2,cell,rinf_targeted,released,0,0,0,200
sinusoidal,unreachable,0.2,cell,rinf_targeted,new_n,0,0,0,200
sinusoidal,unreachable,0.2,cell,rinf_targeted,bad_release,0,0,0,200
sinusoidal,unreachable,0.2,cell,r2_random,released,0,0,0,200
sinusoidal,unreachable,0.2,cell,r2_random,new_n,0,0,0,200
sinusoidal,unreachable,0.2,cell,r2_random,bad_release,0,0,0,200
sinusoidal,unreachable,0.2,cell,r2_nearest,released,0,0,0,200
sinusoidal,unreachable,0.2,cell,r2_nearest,new_n,0,0,0,200
sinusoidal,unreachable,0.2,cell,r2_nearest,bad_release,0,0,0,200
sinusoidal,unreachable,0.2,cell,r2_static,released,0,0,0,200
sinusoidal,unreachable,0.2,cell,r2_static,new_n,288,288,288,200
sinusoidal,unreachable,0.2,cell,r2_static,bad_release,0,0,0,200
sinusoidal,unreachable,0.2,cell,target_only,released,-1,-1,-1,200
sinusoidal,unreachable,0.2,cell,target_only,new_n,0,0,0,200
sinusoidal,unreachable,0.2,cell,target_only,bad_release,0,0,0,200
sinusoidal,unreachable,0.3,cell,rinf_targeted,released,0,0,0,200
sinusoidal,unreachable,0.3,cell,rinf_targeted,new_n,0,0,0,200
sinusoidal,unreachable,0.3,cell,rinf_targeted,bad_release,0,0,0,200
sinusoidal,unreachable,0.3,cell,r2_random,released,0,0,0,200
sinusoidal,unreachable,0.3,cell,r2_random,new_n,0,0,0,200
sinusoidal,unreachable,0.3,cell,r2_random,bad_release,0,0,0,200
sinusoidal,unreachable,0.3,cell,r2_nearest,released,0,0,0,200
sinusoidal,unreachable,0.3,cell,r2_nearest,new_n,0,0,0,200
sinusoidal,unreachable,0.3,cell,r2_nearest,bad_release,0,0,0,200
sinusoidal,unreachable,0.3,cell,r2_static,released,0,0,0,200
sinusoidal,unreachable,0.3,cell,r2_static,new_n,288,288,288,200
sinusoidal,unreachable,0.3,cell,r2_static,bad_release,0,0,0,200
sinusoidal,unreachable,0.3,cell,target_only,released,-1,-1,-1,200
sinusoidal,unreachable,0.3,cell,target_only,new_n,192,192,192,200
sinusoidal,unreachable,0.3,cell,target_only,bad_release,0,0,0,200
ALL,bridgeable,0.2,pooled,rinf_targeted,released,0.665,0.661666666667,0.666666666667,600
